config,metric,n_pairs,delta_mean_cfg_minus_full,delta_ci_low,delta_ci_high,p_value,effect_size_d,p_value_bh_fdr,significant_fdr_0_05
TOPO_LIGHTWEIGHT,solvable,1,0.0,0.0,0.0,1.0,0.0,1.0,False
TOPO_LIGHTWEIGHT,confusion_index,1,0.0,0.0,0.0,1.0,0.0,1.0,False
TOPO_LIGHTWEIGHT,path_optimal,1,0.0,0.0,0.0,1.0,0.0,1.0,False
TOPO_LIGHTWEIGHT,tile_prior_kl,1,-0.7451092889915492,-0.7451092889915492,-0.7451092889915492,1.0,0.0,1.0,False
TOPO_LIGHTWEIGHT,graph_edit_distance,1,0.0,0.0,0.0,1.0,0.0,1.0,False
TOPO_LIGHTWEIGHT,generation_time_sec,1,-5.230175495147705,-5.230175495147705,-5.230175495147705,1.0,0.0,1.0,False
TOPO_LIGHTWEIGHT,novelty,1,0.0,0.0,0.0,1.0,0.0,1.0,False
TOPO_LIGHTWEIGHT,reconstruction_error,1,0.2102272727272727,0.2102272727272727,0.2102272727272727,1.0,0.0,1.0,False
TOPO_LIGHTWEIGHT,constraint_valid,1,0.0,0.0,0.0,1.0,0.0,1.0,False
TOPO_LIGHTWEIGHT,room_repair_rate,1,0.5714285714285714,0.5714285714285714,0.5714285714285714,1.0,0.0,1.0,False
TOPO_LIGHTWEIGHT,tiles_repaired,1,534.0,534.0,534.0,1.0,0.0,1.0,False
TOPO_LIGHTWEIGHT,topology_representable_edge_rate,1,0.0,0.0,0.0,1.0,0.0,1.0,False
TOPO_LIGHTWEIGHT,topology_edge_connection_recall,1,0.0,0.0,0.0,1.0,0.0,1.0,False
TOPO_LIGHTWEIGHT,topology_phantom_connection_rate,1,0.0,0.0,0.0,1.0,0.0,1.0,False
TOPO_LIGHTWEIGHT,topology_preservation_score,1,0.0,0.0,0.0,1.0,0.0,1.0,False
TOPO_LIGHTWEIGHT,directed_representable_edge_rate,1,0.0,0.0,0.0,1.0,0.0,1.0,False
TOPO_LIGHTWEIGHT,directed_edge_realization_rate,1,0.0,0.0,0.0,1.0,0.0,1.0,False
TOPO_LIGHTWEIGHT,directed_directionality_leak_rate,1,0.0,0.0,0.0,1.0,0.0,1.0,False
TOPO_LIGHTWEIGHT,directed_edge_preservation_score,1,0.0,0.0,0.0,1.0,0.0,1.0,False
