sample,generation_time_sec,num_nodes,num_edges,path_length,linearity,leniency,progression_complexity,topology_complexity,cycle_density,shortcut_density,gate_depth_ratio,path_depth_ratio,directionality_gap,constraint_valid,repair_applied,total_repairs,lock_key_repairs,progression_repairs,wave3_repairs,rule_applied,rule_skipped,puzzle_count,item_count,switch_count,stair_count,gate_variety,has_switch_feature,has_stair_feature,has_shortcut,has_cycle,has_wave3_repair
0,2.7752938270568848,12,24,5,0.5,1.0,0.4836469696969698,0.30716666666666664,0.3333333333333333,0.0,0.2,0.45454545454545453,0.0,1.0,0.0,0,0,0,0,12,4,1,1,0,2,0.4,0.0,1.0,0.0,1.0,0.0
1,2.149845838546753,9,16,5,0.6666666666666666,0.5,0.4987944444444445,0.2664305555555556,0.25,0.0,0.2,0.625,0.0,1.0,0.0,0,0,0,0,6,10,3,1,1,0,0.2,1.0,0.0,0.0,1.0,0.0
2,2.9699604511260986,13,26,5,0.46153846153846156,1.0,0.4768717948717949,0.31435897435897436,0.3333333333333333,0.0,0.2,0.4166666666666667,0.0,1.0,0.0,0,0,0,0,8,2,3,0,0,0,0.0,0.0,0.0,0.0,1.0,0.0
3,2.603675127029419,14,28,6,0.5,1.0,0.4793564102564103,0.26507142857142857,0.2857142857142857,0.0,0.16666666666666666,0.46153846153846156,0.0,1.0,0.0,0,0,0,0,10,5,3,0,1,0,0.2,1.0,0.0,0.0,1.0,0.0
4,2.5637295246124268,11,23,5,0.5454545454545454,1.0,0.2034,0.3595494071146246,0.4,0.0,0.0,0.5,0.0,1.0,0.0,0,0,0,0,11,2,2,3,1,2,0.4,1.0,1.0,0.0,1.0,0.0
5,3.667705774307251,15,29,6,0.4666666666666667,1.0,0.37770640394088667,0.31465353037766836,0.2857142857142857,0.0,0.16666666666666666,0.42857142857142855,0.0,1.0,0.0,0,0,0,0,14,4,1,0,0,0,0.2,0.0,0.0,0.0,1.0,0.0
6,3.298360824584961,13,26,5,0.46153846153846156,0.5,0.4942256410256411,0.34312820512820513,0.3333333333333333,0.0,0.2,0.4166666666666667,0.0,1.0,0.0,0,0,0,0,10,3,3,3,0,2,0.4,0.0,1.0,0.0,1.0,0.0
7,3.3452556133270264,14,23,6,0.5,0.5,0.48795019907628606,0.29272049689441,0.2857142857142857,0.0,0.16666666666666666,0.46153846153846156,0.0,1.0,0.0,0,0,0,0,15,3,3,2,2,0,0.4,1.0,0.0,0.0,1.0,0.0
8,2.370089054107666,10,21,5,0.6,1.0,0.48724444444444454,0.3076190476190477,0.4,0.0,0.2,0.5555555555555556,0.0,1.0,0.0,0,0,0,0,9,4,0,2,0,0,0.0,0.0,0.0,0.0,1.0,0.0
9,4.141313791275024,14,27,6,0.5,1.0,0.19102307692307693,0.2982857142857143,0.2857142857142857,0.0,0.0,0.46153846153846156,0.0,1.0,0.0,0,0,0,0,16,2,4,0,0,0,0.2,0.0,0.0,0.0,1.0,0.0
10,2.562178611755371,11,20,5,0.5454545454545454,1.0,0.48993636363636367,0.3476818181818182,0.4,0.0,0.2,0.5,0.0,1.0,0.0,0,0,0,0,11,5,1,0,1,0,0.4,1.0,0.0,0.0,1.0,0.0
11,3.5180461406707764,15,31,6,0.4666666666666667,1.0,0.28695238095238096,0.3107158218125961,0.2857142857142857,0.0,0.16666666666666666,0.42857142857142855,0.0,1.0,0.0,0,0,0,0,10,2,1,2,0,2,0.2,0.0,1.0,0.0,1.0,0.0
12,2.184983968734741,9,16,5,0.6666666666666666,1.0,0.49418611111111116,0.3134166666666667,0.25,0.0,0.2,0.625,0.0,1.0,0.0,0,0,0,0,8,5,1,1,0,2,0.4,0.0,1.0,0.0,1.0,0.0
13,3.150851249694824,14,28,5,0.42857142857142855,1.0,0.4746549450549451,0.28614285714285725,0.2857142857142857,0.0,0.2,0.38461538461538464,0.0,1.0,0.0,0,0,0,0,10,2,2,2,0,2,0.2,0.0,1.0,0.0,1.0,0.0
14,3.125908851623535,15,30,6,0.4666666666666667,1.0,0.33701904761904766,0.2902857142857143,0.2857142857142857,0.0,0.16666666666666666,0.42857142857142855,0.0,1.0,0.0,0,0,0,0,13,5,2,2,0,0,0.2,0.0,0.0,0.0,1.0,0.0
15,3.1841917037963867,14,25,6,0.5,0.5,0.4824249816849817,0.3026857142857143,0.2857142857142857,0.0,0.16666666666666666,0.46153846153846156,0.0,1.0,0.0,0,0,0,0,12,4,0,2,1,2,0.6,1.0,1.0,0.0,1.0,0.0
16,3.7523210048675537,15,29,6,0.4666666666666667,1.0,0.4952604269293925,0.2605385878489327,0.2857142857142857,0.0,0.16666666666666666,0.42857142857142855,0.0,1.0,0.0,0,0,0,0,15,3,7,2,0,2,0.4,0.0,1.0,0.0,1.0,0.0
17,3.3654839992523193,14,28,6,0.5,1.0,0.478070695970696,0.33185714285714296,0.2857142857142857,0.0,0.16666666666666666,0.46153846153846156,0.0,1.0,0.0,0,0,0,0,11,0,2,1,0,2,0.2,0.0,1.0,0.0,1.0,0.0
18,3.0611157417297363,15,28,7,0.5333333333333333,1.0,0.48544761904761907,0.32145238095238093,0.2857142857142857,0.0,0.14285714285714285,0.5,0.0,1.0,0.0,0,0,0,0,13,4,1,3,1,0,0.4,1.0,0.0,0.0,1.0,0.0
19,2.1711137294769287,9,16,5,0.6666666666666666,1.0,0.49258611111111117,0.2545555555555556,0.25,0.0,0.2,0.625,0.0,1.0,0.0,0,0,0,0,8,3,2,0,0,0,0.2,0.0,0.0,0.0,1.0,0.0
20,2.4707446098327637,11,22,4,0.45454545454545453,1.0,0.49216363636363636,0.3643636363636364,0.4,0.0,0.25,0.4,0.0,1.0,0.0,0,0,0,0,9,4,3,2,0,0,0.2,0.0,0.0,0.0,1.0,0.0
21,2.5339338779449463,11,21,6,0.6363636363636364,1.0,0.5139930735930736,0.3152034632034632,0.4,0.0,0.16666666666666666,0.6,0.0,1.0,0.0,0,0,0,0,11,2,4,2,0,2,0.4,0.0,1.0,0.0,1.0,0.0
22,3.5946004390716553,15,29,6,0.4666666666666667,1.0,0.47481904761904764,0.3222397372742201,0.2857142857142857,0.0,0.16666666666666666,0.42857142857142855,0.0,1.0,0.0,0,0,0,0,12,4,2,1,0,2,0.2,0.0,1.0,0.0,1.0,0.0
23,3.313493251800537,15,29,6,0.4666666666666667,1.0,0.32432709359605916,0.2904696223316913,0.2857142857142857,0.0,0.0,0.42857142857142855,0.0,1.0,0.0,0,0,0,0,15,2,2,2,0,0,0.2,0.0,0.0,0.0,1.0,0.0
24,3.404733896255493,15,29,6,0.4666666666666667,0.6666666666666666,0.47721904761904765,0.30994088669950737,0.2857142857142857,0.0,0.16666666666666666,0.42857142857142855,0.0,1.0,0.0,0,0,0,0,12,5,1,2,1,2,0.4,1.0,1.0,0.0,1.0,0.0
25,2.965794801712036,11,22,6,0.6363636363636364,1.0,0.21512727272727272,0.35836363636363644,0.4,0.0,0.0,0.6,0.0,1.0,0.0,0,0,0,0,12,4,2,3,0,2,0.4,0.0,1.0,0.0,1.0,0.0
26,2.480708599090576,11,21,5,0.5454545454545454,1.0,0.360787012987013,0.31380086580086586,0.4,0.0,0.2,0.5,0.0,1.0,0.0,0,0,0,0,10,5,4,1,0,0,0.2,0.0,0.0,0.0,1.0,0.0
27,3.0454554557800293,13,27,5,0.46153846153846156,1.0,0.48268717948717954,0.3496239316239317,0.3333333333333333,0.0,0.2,0.4166666666666667,0.0,1.0,0.0,0,0,0,0,13,5,2,1,1,2,0.4,1.0,1.0,0.0,1.0,0.0
28,3.1779043674468994,14,27,5,0.42857142857142855,1.0,0.32298827838827837,0.26421164021164023,0.2857142857142857,0.0,0.0,0.38461538461538464,0.0,1.0,0.0,0,0,0,0,11,3,3,2,0,0,0.2,0.0,0.0,0.0,1.0,0.0
29,3.876577377319336,16,33,6,0.4375,1.0,0.49114128787878786,0.3836060606060607,0.375,0.0,0.16666666666666666,0.4,0.0,1.0,0.0,0,0,0,0,16,1,5,2,1,0,0.4,1.0,0.0,0.0,1.0,0.0
30,3.493422269821167,15,30,7,0.5333333333333333,0.5,0.48736190476190483,0.332952380952381,0.2857142857142857,0.0,0.14285714285714285,0.5,0.0,1.0,0.0,0,0,0,0,12,3,2,3,0,0,0.2,0.0,0.0,0.0,1.0,0.0
31,3.68479323387146,15,28,6,0.4666666666666667,0.5,0.49519047619047624,0.3278571428571429,0.2857142857142857,0.0,0.16666666666666666,0.42857142857142855,0.0,1.0,0.0,0,0,0,0,15,3,3,4,0,2,0.6,0.0,1.0,0.0,1.0,0.0
32,3.0442771911621094,12,23,5,0.5,1.0,0.49577957839262193,0.3562028985507246,0.3333333333333333,0.0,0.2,0.45454545454545453,0.0,1.0,0.0,0,0,0,0,10,8,4,0,1,2,0.6,1.0,1.0,0.0,1.0,0.0
33,3.5819602012634277,15,29,6,0.4666666666666667,0.5,0.4878397372742201,0.30235467980295566,0.2857142857142857,0.0,0.16666666666666666,0.42857142857142855,0.0,1.0,0.0,0,0,0,0,12,2,4,3,1,0,0.4,1.0,0.0,0.0,1.0,0.0
34,3.3244242668151855,15,30,6,0.4666666666666667,1.0,0.48621904761904766,0.3162857142857143,0.2857142857142857,0.0,0.16666666666666666,0.42857142857142855,0.0,1.0,0.0,0,0,0,0,12,5,4,2,0,2,0.4,0.0,1.0,0.0,1.0,0.0
35,2.2287161350250244,10,20,6,0.7,1.0,0.5017666666666667,0.3440000000000001,0.4,0.0,0.16666666666666666,0.6666666666666666,0.0,1.0,0.0,0,0,0,0,10,3,2,1,0,0,0.0,0.0,0.0,0.0,1.0,0.0
36,3.0546650886535645,12,21,5,0.5,0.75,0.47665411255411266,0.32780952380952383,0.3333333333333333,0.0,0.2,0.45454545454545453,0.0,1.0,0.0,0,0,0,0,12,4,0,1,0,0,0.2,0.0,0.0,0.0,1.0,0.0
37,3.507336139678955,14,28,6,0.5,1.0,0.47914212454212457,0.32400000000000007,0.2857142857142857,0.0,0.16666666666666666,0.46153846153846156,0.0,1.0,0.0,0,0,0,0,12,5,1,3,0,0,0.2,0.0,0.0,0.0,1.0,0.0
