metric,n_pairs,control_mean,treatment_mean,delta_mean_treatment_minus_control,delta_std
generation_time_sec,12,22.449936091899872,23.255254526933033,0.8053184350331625,2.142991487760713
nodes,12,25.833333333333332,26.083333333333332,0.25,3.139134700306227
edges,12,49.666666666666664,50.75,1.0833333333333333,6.460886592067342
linearity,12,0.2884676070639338,0.3075048640403665,0.019037256976432552,0.038374371912171606
leniency,12,0.8624999999999999,0.7972222222222222,-0.06527777777777778,0.11636037836961939
progression_complexity,12,0.4586394823766289,0.46803633628659996,0.009396853909971031,0.037618453680512025
topology_complexity,12,0.3650746648970034,0.3795281554850091,0.014453490588005644,0.024940198039408366
cycle_density,12,0.26920440670440676,0.2861430236430236,0.01693861693861694,0.03048530472859717
shortcut_density,12,0.0,0.0,0.0,0.0
gate_depth_ratio,12,0.19374999999999998,0.2199074074074074,0.026157407407407407,0.09900779844511869
path_depth_ratio,12,0.2595701223462343,0.2795894899518088,0.0200193676055745,0.04016927687232896
directionality_gap,12,0.0,0.0,0.0,0.0
constraint_valid,12,0.0,0.0,0.0,0.0
path_exists,12,1.0,1.0,0.0,0.0
cbs_fitness,12,-3.5980692459836754,0.9768072004922416,4.574876446475916,5.412593771308443
cbs_confusion_ratio,12,1.6376907843842818,1.6471485161378332,0.00945773175355156,0.019294443761810557
cbs_path_efficiency,12,0.3639880952380952,0.6145757020757021,0.25058760683760684,0.326859225616177
cbs_room_entropy,12,0.3825721187057552,0.38469996302983045,0.0021278443240752933,0.04095599487435239
