seed,arm,cognitive_weight,generation_time_sec,nodes,edges,linearity,leniency,progression_complexity,topology_complexity,cycle_density,shortcut_density,gate_depth_ratio,path_depth_ratio,directionality_gap,constraint_valid,path_exists,cbs_fitness,cbs_confusion_ratio,cbs_path_efficiency,cbs_room_entropy,cbs_proxy_mode
42,COGNITIVE_OFF,0.0,18.845646619796753,30,59,0.26666666666666666,0.5,0.48630195096156525,0.38668926553672317,0.26666666666666666,0.0,0.2857142857142857,0.2413793103448276,0.0,0.0,1.0,-10.0,1.6516666666666666,0.0,0.27798676991794424,1.0
42,COGNITIVE_ON,0.08,18.8963680267334,27,53,0.2962962962962963,0.5,0.49860859154821424,0.4262236198462614,0.3076923076923077,0.0,0.2857142857142857,0.2692307692307692,0.0,0.0,1.0,0.9820529486847023,1.6648148148148147,0.6666666666666666,0.35298654502295324,1.0
139,COGNITIVE_OFF,0.0,23.02859377861023,28,55,0.2857142857142857,1.0,0.43231303511303515,0.3401038961038961,0.2857142857142857,0.0,0.2857142857142857,0.25925925925925924,0.0,0.0,1.0,0.978504722470974,1.6517857142857144,0.6666666666666666,0.3721725352428103,1.0
139,COGNITIVE_ON,0.08,26.89539885520935,28,55,0.2857142857142857,1.0,0.43231303511303515,0.3401038961038961,0.2857142857142857,0.0,0.2857142857142857,0.25925925925925924,0.0,0.0,1.0,0.978504722470974,1.6517857142857144,0.6666666666666666,0.3721725352428103,1.0
236,COGNITIVE_OFF,0.0,25.96458673477173,29,56,0.27586206896551724,0.75,0.4804268472906404,0.38460467980295576,0.2857142857142857,0.0,0.2857142857142857,0.25,0.0,0.0,1.0,0.9733345678440812,1.6344827586206896,0.5714285714285714,0.2942367323324956,1.0
236,COGNITIVE_ON,0.08,26.27608871459961,29,56,0.27586206896551724,0.75,0.4804268472906404,0.38460467980295576,0.2857142857142857,0.0,0.2857142857142857,0.25,0.0,0.0,1.0,0.9733345678440812,1.6344827586206896,0.5714285714285714,0.2942367323324956,1.0
333,COGNITIVE_OFF,0.0,24.305577754974365,25,49,0.36,1.0,0.4172166666666667,0.3543469387755102,0.25,0.0,0.125,0.3333333333333333,0.0,0.0,1.0,0.9823607307192058,1.666,0.625,0.42022980060092396,1.0
333,COGNITIVE_ON,0.08,24.224783182144165,21,41,0.3333333333333333,1.0,0.37772090592334495,0.3636585365853659,0.3,0.0,0.16666666666666666,0.3,0.0,0.0,1.0,0.9786733538980492,1.6523809523809523,0.5,0.40994478709579046,1.0
430,COGNITIVE_OFF,0.0,23.617175340652466,23,44,0.30434782608695654,1.0,0.47026455862977595,0.3566758893280632,0.2727272727272727,0.0,0.16666666666666666,0.2727272727272727,0.0,0.0,1.0,-10.0,1.6304347826086958,0.0,0.35863031356402303,1.0
430,COGNITIVE_ON,0.08,24.597084760665894,31,60,0.2903225806451613,1.0,0.48233010752688177,0.35204301075268823,0.26666666666666666,0.0,0.25,0.26666666666666666,0.0,0.0,1.0,0.973647683407463,1.635483870967742,0.625,0.4486089599642525,1.0
