metric,n_pairs,control_mean,treatment_mean,delta_mean_treatment_minus_control,delta_std
generation_time_sec,1,1.1406829357147217,1.1134963035583496,-0.02718663215637207,0.0
nodes,1,31.0,30.0,-1.0,0.0
edges,1,62.0,62.0,0.0,0.0
linearity,1,0.25806451612903225,0.23333333333333334,-0.024731182795698914,0.0
leniency,1,1.0,1.0,0.0,0.0
progression_complexity,1,0.47807219662058376,0.3481850574712643,-0.12988713914931943,0.0
topology_complexity,1,0.3813870967741936,0.3436129032258065,-0.03777419354838707,0.0
cycle_density,1,0.2,0.26666666666666666,0.06666666666666665,0.0
shortcut_density,1,0.0,0.0,0.0,0.0
gate_depth_ratio,1,0.2857142857142857,0.16666666666666666,-0.11904761904761904,0.0
path_depth_ratio,1,0.23333333333333334,0.20689655172413793,-0.02643678160919541,0.0
directionality_gap,1,0.0,0.0,0.0,0.0
constraint_valid,1,0.0,0.0,0.0,0.0
path_exists,1,1.0,1.0,0.0,0.0
cbs_fitness,1,-10.0,0.9833808634083979,10.983380863408398,0.0
cbs_confusion_ratio,1,1.6564516129032258,1.67,0.013548387096774084,0.0
cbs_path_efficiency,1,0.0,0.625,0.625,0.0
cbs_room_entropy,1,0.3360107516760966,0.3043219712655631,-0.031688780410533524,0.0
