config,seed,success,solvable,confusion_ratio,confusion_index,path_optimal,tile_prior_kl,graph_edit_distance,generation_time_sec,novelty,reconstruction_error,constraint_valid,room_repair_rate,tiles_repaired,topology_representable_edge_rate,topology_edge_connection_recall,topology_phantom_connection_rate,topology_preservation_score,directed_representable_edge_rate,directed_edge_realization_rate,directed_directionality_leak_rate,directed_edge_preservation_score,error
FULL,42,True,False,,0.0,0.0,5.915143818775977,0.21034090909090908,19.970152139663696,0.02818669512426208,0.0,1.0,0.0,0.0,0.1111111111111111,1.0,0.0,0.6,0.0,0.0,0.0,0.0,
FULL,43,True,False,,0.0,0.0,6.571790500567457,0.20850267379679144,16.916510820388794,0.1560308445333468,0.005681818181818182,1.0,0.0,0.0,0.2222222222222222,1.0,0.0,0.65,0.0,0.0,0.0,0.0,
FULL,44,True,False,,0.0,0.0,5.733174395378091,0.21034090909090908,16.08923077583313,0.028938972824517812,0.0625,1.0,0.0,0.0,0.2222222222222222,1.0,0.0,0.65,0.0625,1.0,0.0,1.0,
FULL,45,True,False,,0.0,0.0,5.731503913078059,0.20850267379679144,15.466816425323486,0.16960635345293312,0.0,1.0,0.0,0.0,0.4444444444444444,1.0,0.0,0.75,0.0625,1.0,0.0,1.0,
FULL,46,True,False,,0.0,0.0,5.895047610081901,0.20850267379679144,16.0130877494812,0.02824658322013872,0.056818181818181816,1.0,0.0,0.0,0.3333333333333333,1.0,0.0,0.7,0.0,0.0,0.0,0.0,
FULL,47,True,False,,0.0,0.0,6.273891798761196,0.20850267379679144,16.082550525665283,0.05020928245345841,0.0,1.0,0.0,0.0,0.3333333333333333,1.0,0.0,0.7,0.0625,1.0,0.0,1.0,
FULL,48,True,False,,0.0,0.0,5.30470857202678,0.20850267379679144,16.033531427383423,0.029331784064027682,0.017045454545454544,1.0,0.0,0.0,0.1111111111111111,1.0,0.0,0.6,0.0,0.0,0.0,0.0,
FULL,49,True,False,,0.0,0.0,6.158113705844436,0.20850267379679144,16.185805320739746,0.04640930799637594,0.0,1.0,0.0,0.0,0.2222222222222222,1.0,0.0,0.65,0.0,0.0,0.0,0.0,
FULL,50,True,False,,0.0,0.0,6.200840668654388,0.20850267379679144,16.037827491760254,0.06298327837440672,0.0,1.0,0.0,0.0,0.2222222222222222,1.0,0.0,0.65,0.0,0.0,0.0,0.0,
FULL,51,True,False,,0.0,0.0,5.667101019706511,0.21034090909090908,16.126333713531494,0.034735329556496226,0.005681818181818182,1.0,0.0,0.0,0.4444444444444444,1.0,0.0,0.75,0.0625,1.0,0.0,1.0,
FULL,52,True,False,,0.0,0.0,5.8791288520084,0.20850267379679144,15.900100946426392,0.024868282209987505,0.125,1.0,0.0,0.0,0.2222222222222222,1.0,0.0,0.65,0.0,0.0,0.0,0.0,
FULL,53,True,False,,0.0,0.0,6.158812123419806,0.2124242424242424,16.15339970588684,0.028938972824517812,0.03977272727272727,1.0,0.0,0.0,0.2222222222222222,1.0,0.0,0.65,0.0625,1.0,0.0,1.0,
