config,metric,n_pairs,delta_mean_cfg_minus_full,delta_ci_low,delta_ci_high,p_value,effect_size_d,p_value_bh_fdr,significant_fdr_0_05
COND_WEAK_GRAPH,solvable,4,0.0,0.0,0.0,1.0,0.0,1.0,False
COND_WEAK_GRAPH,confusion_index,4,0.0,0.0,0.0,1.0,0.0,1.0,False
COND_WEAK_GRAPH,path_optimal,4,0.0,0.0,0.0,1.0,0.0,1.0,False
COND_WEAK_GRAPH,tile_prior_kl,4,0.0,0.0,0.0,1.0,0.0,1.0,False
COND_WEAK_GRAPH,graph_edit_distance,4,0.0,0.0,0.0,1.0,0.0,1.0,False
COND_WEAK_GRAPH,generation_time_sec,4,-28.39593756198883,-41.299804985523224,-8.97851186990738,0.13121719570107473,-1.7042565370984712,1.0,False
COND_WEAK_GRAPH,novelty,4,0.0,0.0,0.0,1.0,0.0,1.0,False
COND_WEAK_GRAPH,reconstruction_error,4,0.0,0.0,0.0,1.0,0.0,1.0,False
COND_WEAK_GRAPH,constraint_valid,4,0.0,0.0,0.0,1.0,0.0,1.0,False
COND_WEAK_GRAPH,room_repair_rate,4,0.0,0.0,0.0,1.0,0.0,1.0,False
COND_WEAK_GRAPH,tiles_repaired,4,0.0,0.0,0.0,1.0,0.0,1.0,False
COND_WEAK_GRAPH,topology_representable_edge_rate,4,0.0,0.0,0.0,1.0,0.0,1.0,False
COND_WEAK_GRAPH,topology_edge_connection_recall,4,0.0,0.0,0.0,1.0,0.0,1.0,False
COND_WEAK_GRAPH,topology_phantom_connection_rate,4,0.0,0.0,0.0,1.0,0.0,1.0,False
COND_WEAK_GRAPH,topology_preservation_score,4,0.0,0.0,0.0,1.0,0.0,1.0,False
COND_WEAK_GRAPH,directed_representable_edge_rate,4,0.0,0.0,0.0,1.0,0.0,1.0,False
COND_WEAK_GRAPH,directed_edge_realization_rate,4,0.0,0.0,0.0,1.0,0.0,1.0,False
COND_WEAK_GRAPH,directed_directionality_leak_rate,4,0.0,0.0,0.0,1.0,0.0,1.0,False
COND_WEAK_GRAPH,directed_edge_preservation_score,4,0.0,0.0,0.0,1.0,0.0,1.0,False
