method,metric,n_pairs,delta_mean_cfg_minus_full,delta_ci_low,delta_ci_high,p_value,effect_size_d,p_value_bh_fdr,significant_fdr_0_05
RANDOM,fitness,2,0.010543470270706345,-0.007153092302158215,0.028240032843570906,1.0,0.5957919922185014,1.0,False
RANDOM,feasible,2,0.0,0.0,0.0,1.0,0.0,1.0,False
RANDOM,overall_completeness,2,0.0,0.0,0.0,1.0,0.0,1.0,False
RANDOM,constraint_valid,2,0.0,0.0,0.0,1.0,0.0,1.0,False
RANDOM,linearity,2,0.10397002353524093,0.08115942028985507,0.1267806267806268,0.5128717820544864,4.557969046972575,1.0,False
RANDOM,leniency,2,0.008333333333333304,-0.2333333333333334,0.25,1.0,0.03448275862068953,1.0,False
RANDOM,progression_complexity,2,-0.003675277657668813,-0.008951817016599417,0.0016012617012617913,1.0,-0.6965318379457102,1.0,False
RANDOM,topology_complexity,2,-0.06205724577223154,-0.08427759695756842,-0.039836894586894656,0.5036240939765059,-2.792811205125455,1.0,False
RANDOM,path_length,2,1.5,0.0,3.0,1.0,1.0,1.0,False
RANDOM,num_nodes,2,-4.0,-7.0,-1.0,0.4928767808047988,-1.3333333333333333,1.0,False
RANDOM,repair_applied,2,0.0,0.0,0.0,1.0,0.0,1.0,False
RANDOM,generation_constraint_rejections,2,0.0,0.0,0.0,1.0,0.0,1.0,False
RANDOM,candidate_repairs_applied,2,0.0,0.0,0.0,1.0,0.0,1.0,False
RANDOM,novelty_vs_reference,2,-0.04127014912699454,-0.04787893734039806,-0.03466136091359102,0.5033741564608848,-6.244737733203958,1.0,False
RANDOM,graph_edit_distance,2,0.05206192701203391,0.023518518518518508,0.08060533550554931,0.49912521869532617,1.8239562042445467,1.0,False
RANDOM,generation_time_sec,2,-0.3960005044937134,-0.4192047119140625,-0.37279629707336426,0.5061234691327168,-17.065892289276704,1.0,False
ES,fitness,2,0.00733056418028627,-0.027859739947219908,0.04252086830779245,1.0,0.2083120439574832,1.0,False
ES,feasible,2,0.0,0.0,0.0,1.0,0.0,1.0,False
ES,overall_completeness,2,0.0,0.0,0.0,1.0,0.0,1.0,False
ES,constraint_valid,2,0.0,0.0,0.0,1.0,0.0,1.0,False
ES,linearity,2,0.008623466044755418,-0.020434227330779042,0.03768115942028988,1.0,0.29677049493598373,1.0,False
ES,leniency,2,0.20833333333333331,0.16666666666666663,0.25,0.5101224693826544,4.999999999999997,1.0,False
ES,progression_complexity,2,-0.057192294124460474,-0.11178032223204637,-0.002604266016874579,0.5006248437890527,-1.0477076404324757,1.0,False
