rule_a,AddArena,AddBossGauntlet,AddCollectionChallenge,AddEntangledBranches,AddForeshadowing,AddFungibleLock,AddGatekeeper,AddHazardGate,AddItemGate,AddItemShortcut,AddMultiLock,AddPacingBreaker,AddResourceLoop,AddSecret,AddSector,AddSkillChain,AddStairs,AddTeleport,AddValve,Branch,CreateHub,FormBigRoom,InsertChallenge_ENEMY,InsertChallenge_PUZZLE,InsertLockKey,InsertSwitch,MergeShortcut,PruneDeadEnd,PruneGraph,SplitRoom
AddArena,0.0,0.3333333333333333,0.6666666666666666,0.6666666666666666,0.0,1.0,0.5,1.0,1.0,0.16666666666666666,0.6666666666666666,0.5,0.16666666666666666,1.0,1.0,0.6666666666666666,0.6666666666666666,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0
AddBossGauntlet,1.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0
AddCollectionChallenge,1.0,0.25,0.0,1.0,0.0,1.0,0.5,1.0,1.0,0.0,1.0,0.25,0.25,1.0,1.0,0.75,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0
AddEntangledBranches,1.0,0.25,1.0,0.0,0.5,1.0,0.5,1.0,1.0,0.0,1.0,0.25,0.25,1.0,1.0,0.75,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0
AddForeshadowing,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AddFungibleLock,1.0,0.3333333333333333,0.6666666666666666,0.6666666666666666,0.3333333333333333,0.0,0.5,1.0,1.0,0.3333333333333333,0.6666666666666666,0.3333333333333333,0.16666666666666666,1.0,1.0,0.6666666666666666,0.6666666666666666,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0
AddGatekeeper,1.0,0.0,0.6666666666666666,0.6666666666666666,0.0,1.0,0.0,1.0,1.0,0.3333333333333333,0.6666666666666666,0.3333333333333333,0.3333333333333333,1.0,1.0,1.0,0.6666666666666666,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0
AddHazardGate,1.0,0.3333333333333333,0.8333333333333334,0.8333333333333334,0.16666666666666666,1.0,0.5,0.0,1.0,0.16666666666666666,1.0,0.3333333333333333,0.16666666666666666,1.0,1.0,0.6666666666666666,0.6666666666666666,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0
AddItemGate,1.0,0.3333333333333333,0.6666666666666666,0.6666666666666666,0.16666666666666666,1.0,0.8333333333333334,1.0,0.0,0.3333333333333333,0.6666666666666666,0.3333333333333333,1.0,1.0,1.0,0.8333333333333334,0.6666666666666666,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0
AddItemShortcut,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0
AddMultiLock,1.0,0.25,1.0,1.0,0.5,1.0,0.5,1.0,1.0,0.0,0.0,0.25,0.25,1.0,1.0,0.75,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0
AddPacingBreaker,1.0,1.0,0.5,0.5,0.0,1.0,0.0,1.0,1.0,0.0,0.5,0.0,0.0,1.0,1.0,0.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0
AddResourceLoop,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0
