config,metric,n_pairs,delta_mean_cfg_minus_full,delta_ci_low,delta_ci_high,p_value,effect_size_d,p_value_bh_fdr,significant_fdr_0_05
COND_NO_TPE,solvable,12,0.0,0.0,0.0,1.0,0.0,1.0,False
COND_NO_TPE,confusion_index,12,0.0,0.0,0.0,1.0,0.0,1.0,False
COND_NO_TPE,path_optimal,12,0.0,0.0,0.0,1.0,0.0,1.0,False
COND_NO_TPE,tile_prior_kl,12,0.0,0.0,0.0,1.0,0.0,1.0,False
COND_NO_TPE,graph_edit_distance,12,0.0,0.0,0.0,1.0,0.0,1.0,False
COND_NO_TPE,generation_time_sec,12,0.4245727260907491,-0.3697626993060112,1.349612869819005,0.40514871282179454,0.2806178025564937,1.0,False
COND_NO_TPE,novelty,12,0.0,0.0,0.0,1.0,0.0,1.0,False
COND_NO_TPE,reconstruction_error,12,0.0,0.0,0.0,1.0,0.0,1.0,False
COND_NO_TPE,constraint_valid,12,0.0,0.0,0.0,1.0,0.0,1.0,False
COND_NO_TPE,room_repair_rate,12,0.0,0.0,0.0,1.0,0.0,1.0,False
COND_NO_TPE,tiles_repaired,12,0.0,0.0,0.0,1.0,0.0,1.0,False
COND_NO_TPE,topology_representable_edge_rate,12,0.0,0.0,0.0,1.0,0.0,1.0,False
COND_NO_TPE,topology_edge_connection_recall,12,0.0,0.0,0.0,1.0,0.0,1.0,False
COND_NO_TPE,topology_phantom_connection_rate,12,0.0,0.0,0.0,1.0,0.0,1.0,False
COND_NO_TPE,topology_preservation_score,12,0.0,0.0,0.0,1.0,0.0,1.0,False
COND_NO_TPE,directed_representable_edge_rate,12,0.0,0.0,0.0,1.0,0.0,1.0,False
COND_NO_TPE,directed_edge_realization_rate,12,0.0,0.0,0.0,1.0,0.0,1.0,False
COND_NO_TPE,directed_directionality_leak_rate,12,0.0,0.0,0.0,1.0,0.0,1.0,False
COND_NO_TPE,directed_edge_preservation_score,12,0.0,0.0,0.0,1.0,0.0,1.0,False
COND_WEAK_GRAPH,solvable,12,0.0,0.0,0.0,1.0,0.0,1.0,False
COND_WEAK_GRAPH,confusion_index,12,0.0,0.0,0.0,1.0,0.0,1.0,False
COND_WEAK_GRAPH,path_optimal,12,0.0,0.0,0.0,1.0,0.0,1.0,False
COND_WEAK_GRAPH,tile_prior_kl,12,0.0,0.0,0.0,1.0,0.0,1.0,False
COND_WEAK_GRAPH,graph_edit_distance,12,0.0,0.0,0.0,1.0,0.0,1.0,False
COND_WEAK_GRAPH,generation_time_sec,12,18.28444371620814,9.183971808850766,29.479042730728786,0.000999750062484379,1.0108652390550106,0.037990502374406404,True
COND_WEAK_GRAPH,novelty,12,0.0,0.0,0.0,1.0,0.0,1.0,False
COND_WEAK_GRAPH,reconstruction_error,12,0.0,0.0,0.0,1.0,0.0,1.0,False
COND_WEAK_GRAPH,constraint_valid,12,0.0,0.0,0.0,1.0,0.0,1.0,False
COND_WEAK_GRAPH,room_repair_rate,12,0.0,0.0,0.0,1.0,0.0,1.0,False
COND_WEAK_GRAPH,tiles_repaired,12,0.0,0.0,0.0,1.0,0.0,1.0,False
COND_WEAK_GRAPH,topology_representable_edge_rate,12,0.0,0.0,0.0,1.0,0.0,1.0,False
COND_WEAK_GRAPH,topology_edge_connection_recall,12,0.0,0.0,0.0,1.0,0.0,1.0,False
COND_WEAK_GRAPH,topology_phantom_connection_rate,12,0.0,0.0,0.0,1.0,0.0,1.0,False
COND_WEAK_GRAPH,topology_preservation_score,12,0.0,0.0,0.0,1.0,0.0,1.0,False
COND_WEAK_GRAPH,directed_representable_edge_rate,12,0.0,0.0,0.0,1.0,0.0,1.0,False
COND_WEAK_GRAPH,directed_edge_realization_rate,12,0.0,0.0,0.0,1.0,0.0,1.0,False
COND_WEAK_GRAPH,directed_directionality_leak_rate,12,0.0,0.0,0.0,1.0,0.0,1.0,False
COND_WEAK_GRAPH,directed_edge_preservation_score,12,0.0,0.0,0.0,1.0,0.0,1.0,False
