config,metric,n_pairs,delta_mean_cfg_minus_full,delta_ci_low,delta_ci_high,p_value,effect_size_d,p_value_bh_fdr,significant_fdr_0_05
NO_EVOLUTION,solvable,2,0.0,0.0,0.0,1.0,0.0,1.0,False
NO_EVOLUTION,path_optimal,2,0.0,0.0,0.0,1.0,0.0,1.0,False
NO_EVOLUTION,generation_time_sec,2,0.1436547040939331,-0.3523213863372803,0.6396307945251465,1.0,0.2896403815938714,1.0,False
NO_LOGIC,solvable,2,0.0,0.0,0.0,1.0,0.0,1.0,False
NO_LOGIC,path_optimal,2,0.0,0.0,0.0,1.0,0.0,1.0,False
NO_LOGIC,generation_time_sec,2,-0.0044324398040771484,-0.484539270401001,0.4756743907928467,1.0,-0.009232194839982243,1.0,False
NO_WFC,solvable,2,0.0,0.0,0.0,1.0,0.0,1.0,False
NO_WFC,path_optimal,2,0.0,0.0,0.0,1.0,0.0,1.0,False
NO_WFC,generation_time_sec,2,0.022551774978637695,-0.4478332996368408,0.4929368495941162,1.0,0.047943219705839715,1.0,False
PURE_WFC,solvable,2,0.0,0.0,0.0,1.0,0.0,1.0,False
PURE_WFC,path_optimal,2,0.0,0.0,0.0,1.0,0.0,1.0,False
PURE_WFC,generation_time_sec,2,0.13134729862213135,-0.47463440895080566,0.7373290061950684,1.0,0.2167512599484237,1.0,False
RANDOM_TOPOLOGY,solvable,2,0.0,0.0,0.0,1.0,0.0,1.0,False
RANDOM_TOPOLOGY,path_optimal,2,0.0,0.0,0.0,1.0,0.0,1.0,False
RANDOM_TOPOLOGY,generation_time_sec,2,0.04373455047607422,-0.5593793392181396,0.6468484401702881,1.0,0.07251458012059409,1.0,False
TOPO_LIGHTWEIGHT,solvable,2,0.0,0.0,0.0,1.0,0.0,1.0,False
TOPO_LIGHTWEIGHT,path_optimal,2,0.0,0.0,0.0,1.0,0.0,1.0,False
TOPO_LIGHTWEIGHT,generation_time_sec,2,0.017378687858581543,-0.5314352512359619,0.566192626953125,1.0,0.031665900992335655,1.0,False
