config,seed,success,solvable,confusion_ratio,confusion_index,path_optimal,tile_prior_kl,graph_edit_distance,generation_time_sec,novelty,reconstruction_error,constraint_valid,room_repair_rate,tiles_repaired,topology_representable_edge_rate,topology_edge_connection_recall,topology_phantom_connection_rate,topology_preservation_score,directed_representable_edge_rate,directed_edge_realization_rate,directed_directionality_leak_rate,directed_edge_preservation_score,raw_topology_preservation_score,raw_directed_directionality_leak_rate,raw_topology_failed,raw_topology_error_count,raw_topology_error,error
FULL,42,False,False,,,0.0,,,3.933906555175781e-05,,,,,,,,,,,,,,,,False,0,,TypeError: NeuralSymbolicDungeonPipeline.__init__() got an unexpected keyword argument 'resolved_config'
FULL,43,False,False,,,0.0,,,2.3126602172851562e-05,,,,,,,,,,,,,,,,False,0,,TypeError: NeuralSymbolicDungeonPipeline.__init__() got an unexpected keyword argument 'resolved_config'
TOPO_LIGHTWEIGHT,42,False,False,,,0.0,,,1.8596649169921875e-05,,,,,,,,,,,,,,,,False,0,,TypeError: NeuralSymbolicDungeonPipeline.__init__() got an unexpected keyword argument 'resolved_config'
TOPO_LIGHTWEIGHT,43,False,False,,,0.0,,,1.52587890625e-05,,,,,,,,,,,,,,,,False,0,,TypeError: NeuralSymbolicDungeonPipeline.__init__() got an unexpected keyword argument 'resolved_config'
NO_EVOLUTION,42,False,False,,,0.0,,,1.6927719116210938e-05,,,,,,,,,,,,,,,,False,0,,TypeError: NeuralSymbolicDungeonPipeline.__init__() got an unexpected keyword argument 'resolved_config'
NO_EVOLUTION,43,False,False,,,0.0,,,1.430511474609375e-05,,,,,,,,,,,,,,,,False,0,,TypeError: NeuralSymbolicDungeonPipeline.__init__() got an unexpected keyword argument 'resolved_config'
RANDOM_TOPOLOGY,42,False,False,,,0.0,,,1.5497207641601562e-05,,,,,,,,,,,,,,,,False,0,,TypeError: NeuralSymbolicDungeonPipeline.__init__() got an unexpected keyword argument 'resolved_config'
RANDOM_TOPOLOGY,43,False,False,,,0.0,,,1.33514404296875e-05,,,,,,,,,,,,,,,,False,0,,TypeError: NeuralSymbolicDungeonPipeline.__init__() got an unexpected keyword argument 'resolved_config'
NO_WFC,42,False,False,,,0.0,,,1.430511474609375e-05,,,,,,,,,,,,,,,,False,0,,TypeError: NeuralSymbolicDungeonPipeline.__init__() got an unexpected keyword argument 'resolved_config'
NO_WFC,43,False,False,,,0.0,,,1.3113021850585938e-05,,,,,,,,,,,,,,,,False,0,,TypeError: NeuralSymbolicDungeonPipeline.__init__() got an unexpected keyword argument 'resolved_config'
NO_LOGIC,42,False,False,,,0.0,,,1.3113021850585938e-05,,,,,,,,,,,,,,,,False,0,,TypeError: NeuralSymbolicDungeonPipeline.__init__() got an unexpected keyword argument 'resolved_config'
NO_LOGIC,43,False,False,,,0.0,,,1.430511474609375e-05,,,,,,,,,,,,,,,,False,0,,TypeError: NeuralSymbolicDungeonPipeline.__init__() got an unexpected keyword argument 'resolved_config'
PURE_WFC,42,False,False,,,0.0,,,1.3589859008789062e-05,,,,,,,,,,,,,,,,False,0,,TypeError: NeuralSymbolicDungeonPipeline.__init__() got an unexpected keyword argument 'resolved_config'
PURE_WFC,43,False,False,,,0.0,,,1.2874603271484375e-05,,,,,,,,,,,,,,,,False,0,,TypeError: NeuralSymbolicDungeonPipeline.__init__() got an unexpected keyword argument 'resolved_config'
