config,metric,n_pairs,delta_mean_cfg_minus_full,delta_ci_low,delta_ci_high,p_value,effect_size_d,p_value_bh_fdr,significant_fdr_0_05
NO_LOGIC,solvable,4,0.0,0.0,0.0,1.0,0.0,1.0,False
NO_LOGIC,confusion_ratio,1,0.0,0.0,0.0,1.0,0.0,1.0,False
NO_LOGIC,confusion_index,4,0.0,0.0,0.0,1.0,0.0,1.0,False
NO_LOGIC,path_optimal,4,0.0,0.0,0.0,1.0,0.0,1.0,False
NO_LOGIC,tile_prior_kl,4,0.0,0.0,0.0,1.0,0.0,1.0,False
NO_LOGIC,graph_edit_distance,4,0.0,0.0,0.0,1.0,0.0,1.0,False
NO_LOGIC,generation_time_sec,4,-3.99822074174881,-7.039773464202881,-0.9566680192947388,0.13121719570107473,-1.30016428578935,1.0,False
NO_LOGIC,novelty,4,0.0,0.0,0.0,1.0,0.0,1.0,False
NO_LOGIC,reconstruction_error,4,0.0,0.0,0.0,1.0,0.0,1.0,False
NO_LOGIC,constraint_valid,4,0.0,0.0,0.0,1.0,0.0,1.0,False
NO_LOGIC,room_repair_rate,4,0.0,0.0,0.0,1.0,0.0,1.0,False
NO_LOGIC,tiles_repaired,4,0.0,0.0,0.0,1.0,0.0,1.0,False
NO_LOGIC,topology_representable_edge_rate,4,0.0,0.0,0.0,1.0,0.0,1.0,False
NO_LOGIC,topology_edge_connection_recall,4,0.0,0.0,0.0,1.0,0.0,1.0,False
NO_LOGIC,topology_phantom_connection_rate,4,0.0,0.0,0.0,1.0,0.0,1.0,False
NO_LOGIC,topology_preservation_score,4,0.0,0.0,0.0,1.0,0.0,1.0,False
NO_LOGIC,directed_representable_edge_rate,4,0.0,0.0,0.0,1.0,0.0,1.0,False
NO_LOGIC,directed_edge_realization_rate,4,0.0,0.0,0.0,1.0,0.0,1.0,False
NO_LOGIC,directed_directionality_leak_rate,4,0.0,0.0,0.0,1.0,0.0,1.0,False
NO_LOGIC,directed_edge_preservation_score,4,0.0,0.0,0.0,1.0,0.0,1.0,False
