metric,direction,n_pairs,logic_mean,no_logic_mean,delta_logic_minus_no_logic,relative_delta_pct_of_no_logic,logic_wins,ties,logic_losses
success,higher,4,1.0,1.0,0.0,0.0,0,4,0
solvable,higher,4,0.5,0.5,0.0,0.0,0,4,0
confusion_ratio,lower,2,1.9006892230576442,1.9884085213032585,-0.08771929824561409,-4.411533007720184,1,1,0
confusion_index,lower,4,2641.114072690768,524.4520816007907,2116.661991089977,403.5949260853855,1,1,2
path_optimal,higher,4,0.26670476525408826,0.2577147961669644,0.008989969087123822,3.4883402974269027,1,3,0
tile_prior_kl,lower,4,1.164142500445284,1.1769139325465123,-0.012771432101228608,-1.0851627929660757,3,0,1
reconstruction_error,lower,4,0.15909090909090906,0.2102272727272727,-0.05113636363636362,-24.324324324324316,2,1,1
room_repair_rate,lower,4,0.8795454545454546,0.9022727272727273,-0.022727272727272707,-2.5188916876574283,1,3,0
tiles_repaired,lower,4,95.5,127.25,-31.75,-24.95088408644401,3,0,1
constraint_valid,higher,4,1.0,1.0,0.0,0.0,0,4,0
topology_preservation_score,higher,4,0.4375,0.4375,0.0,0.0,0,4,0
directed_edge_preservation_score,higher,4,0.0,0.0,0.0,,0,4,0
generation_time_sec,lower,4,279.89013200998306,496.5957633256912,-216.70563131570816,-43.63823603013348,3,0,1
