seed,metric,logic,no_logic,delta_logic_minus_no_logic,direction
42,success,1.0,1.0,0.0,higher
43,success,1.0,1.0,0.0,higher
44,success,1.0,1.0,0.0,higher
45,success,1.0,1.0,0.0,higher
42,solvable,1.0,1.0,0.0,higher
43,solvable,1.0,1.0,0.0,higher
44,solvable,0.0,0.0,0.0,higher
45,solvable,0.0,0.0,0.0,higher
42,confusion_ratio,1.6785714285714286,1.6785714285714286,0.0,lower
43,confusion_ratio,2.12280701754386,2.298245614035088,-0.17543859649122817,lower
42,confusion_index,0.0561797752808988,0.0561797752808988,0.0,lower
43,confusion_index,0.1862745098039215,0.1696428571428571,0.016631652661064394,lower
44,confusion_index,565.0471698113207,1175.4901960784314,-610.4430262671107,lower
45,confusion_index,9999.166666666666,922.0923076923076,9077.074358974358,lower
42,path_optimal,0.5957446808510638,0.5957446808510638,0.0,higher
43,path_optimal,0.4710743801652892,0.4351145038167939,0.03595987634849529,higher
44,path_optimal,0.0,0.0,0.0,higher
45,path_optimal,0.0,0.0,0.0,higher
42,tile_prior_kl,1.1637446603271209,1.1620414714540277,0.0017031888730931755,lower
43,tile_prior_kl,1.1205672724981208,1.1516402576149487,-0.031072985116827878,lower
44,tile_prior_kl,1.068702133040615,1.079791123858636,-0.01108899081802095,lower
45,tile_prior_kl,1.3035559359152784,1.3141828772584372,-0.01062694134315878,lower
42,reconstruction_error,0.3125,0.3125,0.0,lower
43,reconstruction_error,0.0909090909090909,0.1022727272727272,-0.011363636363636298,lower
44,reconstruction_error,0.0909090909090909,0.3181818181818182,-0.2272727272727273,lower
45,reconstruction_error,0.1420454545454545,0.1079545454545454,0.0340909090909091,lower
42,room_repair_rate,0.9,0.9,0.0,lower
43,room_repair_rate,0.8,0.8,0.0,lower
44,room_repair_rate,0.9090909090909092,0.9090909090909092,0.0,lower
45,room_repair_rate,0.9090909090909092,1.0,-0.09090909090909083,lower
42,tiles_repaired,203.0,141.0,62.0,lower
43,tiles_repaired,43.0,46.0,-3.0,lower
44,tiles_repaired,72.0,169.0,-97.0,lower
45,tiles_repaired,64.0,153.0,-89.0,lower
42,constraint_valid,1.0,1.0,0.0,higher
43,constraint_valid,1.0,1.0,0.0,higher
44,constraint_valid,1.0,1.0,0.0,higher
45,constraint_valid,1.0,1.0,0.0,higher
42,topology_preservation_score,0.4,0.4,0.0,higher
43,topology_preservation_score,0.475,0.475,0.0,higher
44,topology_preservation_score,0.5125,0.5125,0.0,higher
45,topology_preservation_score,0.3625,0.3625,0.0,higher
42,directed_edge_preservation_score,0.0,0.0,0.0,higher
43,directed_edge_preservation_score,0.0,0.0,0.0,higher
44,directed_edge_preservation_score,0.0,0.0,0.0,higher
45,directed_edge_preservation_score,0.0,0.0,0.0,higher
42,generation_time_sec,180.68037676811215,938.2686796188354,-757.5883028507233,lower
43,generation_time_sec,236.20527482032776,242.6780915260315,-6.472816705703735,lower
44,generation_time_sec,345.9773449897766,345.4629824161529,0.5143625736237141,lower
45,generation_time_sec,356.6975314617157,459.973299741745,-103.2757682800293,lower
