config,metric,n_pairs,delta_mean_cfg_minus_full,delta_ci_low,delta_ci_high,p_value,effect_size_d,p_value_bh_fdr,significant_fdr_0_05
NO_LOGIC,solvable,2,0.0,0.0,0.0,1.0,0.0,1.0,False
NO_LOGIC,confusion_ratio,1,0.0,0.0,0.0,1.0,0.0,1.0,False
NO_LOGIC,confusion_index,2,0.0,0.0,0.0,1.0,0.0,1.0,False
NO_LOGIC,path_optimal,2,0.0,0.0,0.0,1.0,0.0,1.0,False
NO_LOGIC,tile_prior_kl,2,5.142278344916207e-06,-0.00047007227210094094,0.00048035682879077335,1.0,0.01082096147959191,1.0,False
NO_LOGIC,graph_edit_distance,2,0.0,0.0,0.0,1.0,0.0,1.0,False
NO_LOGIC,generation_time_sec,2,-19.360546469688416,-38.644681215286255,-0.07641172409057617,0.5021244688827793,-1.003962413927232,1.0,False
NO_LOGIC,novelty,2,0.0,0.0,0.0,1.0,0.0,1.0,False
NO_LOGIC,reconstruction_error,2,0.0,0.0,0.0,1.0,0.0,1.0,False
NO_LOGIC,constraint_valid,2,0.0,0.0,0.0,1.0,0.0,1.0,False
NO_LOGIC,room_repair_rate,2,0.0,0.0,0.0,1.0,0.0,1.0,False
NO_LOGIC,tiles_repaired,2,0.0,-2.0,2.0,1.0,0.0,1.0,False
NO_LOGIC,topology_representable_edge_rate,2,0.0,0.0,0.0,1.0,0.0,1.0,False
NO_LOGIC,topology_edge_connection_recall,2,0.0,0.0,0.0,1.0,0.0,1.0,False
NO_LOGIC,topology_phantom_connection_rate,2,0.0,0.0,0.0,1.0,0.0,1.0,False
NO_LOGIC,topology_preservation_score,2,0.0,0.0,0.0,1.0,0.0,1.0,False
NO_LOGIC,directed_representable_edge_rate,2,0.0,0.0,0.0,1.0,0.0,1.0,False
NO_LOGIC,directed_edge_realization_rate,2,0.0,0.0,0.0,1.0,0.0,1.0,False
NO_LOGIC,directed_directionality_leak_rate,2,0.0,0.0,0.0,1.0,0.0,1.0,False
NO_LOGIC,directed_edge_preservation_score,2,0.0,0.0,0.0,1.0,0.0,1.0,False
