metric,direction,n_pairs,logic_mean,no_logic_mean,delta_logic_minus_no_logic,relative_delta_pct_of_no_logic,logic_wins,ties,logic_losses
success,higher,2,1.0,1.0,0.0,0.0,0,2,0
solvable,higher,2,0.5,0.5,0.0,0.0,0,2,0
confusion_ratio,lower,1,1.5316455696202531,1.5316455696202531,0.0,0.0,0,1,0
confusion_index,lower,2,38.81467855289845,38.81467855289845,0.0,0.0,0,2,0
path_optimal,higher,2,0.32644628099173556,0.32644628099173556,0.0,0.0,0,2,0
tile_prior_kl,lower,2,1.3300738961269092,1.330079038405254,-5.142278344916207e-06,-0.0003866144940590693,1,0,1
reconstruction_error,lower,2,0.09943181818181815,0.09943181818181815,0.0,0.0,0,2,0
room_repair_rate,lower,2,0.75,0.75,0.0,0.0,0,2,0
tiles_repaired,lower,2,110.5,110.5,0.0,0.0,1,0,1
constraint_valid,higher,2,1.0,1.0,0.0,0.0,0,2,0
topology_preservation_score,higher,2,0.4364393939393939,0.4364393939393939,0.0,0.0,0,2,0
generation_time_sec,lower,2,51.69436156749725,32.33381509780884,19.360546469688416,59.8770866076995,0,0,2
