method,seed,room_count,target_curve_len,generation_time_sec,eval_budget,evaluations_used,fitness,feasible_search,feasible_operational,constraint_violation,overall_completeness,constraint_valid,linearity,leniency,progression_complexity,topology_complexity,key_gate_count,key_before_lock_rate,switch_gate_count,switch_before_gate_rate,battery_gate_count,battery_satisfaction_rate,path_length,num_nodes,num_edges,path_redundancy,articulation_count,articulation_ratio,branch_count,branch_utility_rate,secret_component_count,secret_content_discoverability_rate,repair_applied,total_repairs,generation_constraint_rejections,candidate_repairs_applied,novelty_vs_reference,graph_edit_distance
MAP_ELITES,42,24,24,13.36832308769226,512,484,0.20857334750066345,0.0,1.0,1.4462792192536522,1.0,1.0,0.3181818181818182,0.5,0.4674929331929333,0.2672825552825553,2.0,1.0,2.0,1.0,0.0,1.0,6.0,22.0,37.0,0.16666666666666666,12.0,0.5454545454545454,4.0,1.0,0.0,1.0,1.0,24.0,0.0,0.0,0.054700504093989355,0.10277113237639554
MAP_ELITES,43,29,29,11.507097959518433,512,484,0.0473673371780272,0.0,1.0,2.553391525294799,1.0,1.0,0.14814814814814814,1.0,0.3162133779264214,0.23190499194847022,2.0,1.0,1.0,0.0,0.0,1.0,3.0,27.0,46.0,0.0,19.0,0.7037037037037037,1.0,1.0,0.0,1.0,1.0,39.0,0.0,0.0,0.1297967856531831,0.07862903225806452
MAP_ELITES,44,21,21,10.488885641098022,512,484,0.25136498518805944,0.0,1.0,1.0602816161276738,1.0,1.0,0.19047619047619047,1.0,0.3315531531531532,0.30490090090090094,2.0,1.0,0.0,1.0,0.0,1.0,3.0,21.0,37.0,0.0,13.0,0.6190476190476191,1.0,1.0,0.0,1.0,1.0,45.0,0.0,0.0,0.10447435924097133,0.08487190197716513
MAP_ELITES,45,26,26,11.090535879135132,512,484,0.44535737181390694,0.0,1.0,0.5705526936606838,1.0,1.0,0.39285714285714285,0.4,0.5007796296296297,0.3231428571428571,2.0,1.0,1.0,1.0,0.0,1.0,10.0,28.0,49.0,0.3,10.0,0.35714285714285715,4.0,1.0,0.0,1.0,1.0,49.0,0.0,0.0,0.05028886263270066,0.07527709359605911
MAP_ELITES,46,21,21,11.225015640258789,512,484,0.10171051655879938,0.0,1.0,2.0625278597237515,1.0,1.0,0.16129032258064516,0.6666666666666666,0.4618029095509172,0.2613130929791271,2.0,1.0,0.0,1.0,0.0,1.0,4.0,31.0,51.0,0.0,21.0,0.6774193548387096,2.0,1.0,0.0,1.0,1.0,22.0,0.0,0.0,0.13770876994823786,0.07821799578223854
MAP_ELITES,47,26,26,13.136480569839478,512,484,0.2574674964424762,0.0,1.0,0.8537481422910459,1.0,1.0,0.23076923076923078,0.5,0.46301538461538466,0.2725470085470086,2.0,1.0,1.0,1.0,0.0,1.0,5.0,26.0,45.0,0.2,10.0,0.38461538461538464,1.0,1.0,1.0,1.0,1.0,34.0,0.0,0.0,0.09175284958293178,0.08541666666666667
MAP_ELITES,48,33,33,13.668179988861084,512,484,0.4047832338802395,0.0,1.0,0.6563849755020046,1.0,1.0,0.3333333333333333,0.6,0.4888125068418172,0.3254880952380953,5.0,1.0,0.0,1.0,0.0,1.0,9.0,30.0,56.0,0.3333333333333333,13.0,0.43333333333333335,2.0,1.0,0.0,1.0,1.0,27.0,0.0,0.0,0.06079631264496419,0.035653753026634386
MAP_ELITES,49,24,24,11.772998332977295,512,484,0.1758488655871619,0.0,1.0,1.4977349638607216,1.0,1.0,0.24242424242424243,0.6,0.4848306799522317,0.3135417972831766,2.0,1.0,1.0,0.0,0.0,1.0,7.0,33.0,58.0,0.5714285714285714,14.0,0.42424242424242425,4.0,1.0,0.0,1.0,1.0,43.0,0.0,0.0,0.09084340118964926,0.06081435827198539
MAP_ELITES,50,19,19,8.989744663238525,512,484,0.36962002622900963,0.0,1.0,0.665244279478905,1.0,1.0,0.3333333333333333,0.5,0.4800714285714286,0.35494444444444445,4.0,1.0,0.0,1.0,0.0,1.0,6.0,21.0,36.0,0.16666666666666666,10.0,0.47619047619047616,2.0,1.0,0.0,1.0,1.0,13.0,0.0,0.0,0.03837078695120669,0.09581807081807081
MAP_ELITES,51,32,32,11.51977252960205,512,484,0.15377147094805318,0.0,1.0,1.266785043258576,1.0,1.0,0.2727272727272727,0.16666666666666666,0.4711617623604466,0.30971212121212127,2.0,1.0,2.0,1.0,0.0,1.0,8.0,33.0,57.0,0.5,14.0,0.42424242424242425,4.0,0.75,0.0,1.0,1.0,48.0,0.0,0.0,0.0725425593019144,0.0654694224536422
