method,seed,room_count,target_curve_len,generation_time_sec,eval_budget,evaluations_used,fitness,feasible_search,feasible_operational,constraint_violation,overall_completeness,constraint_valid,linearity,leniency,progression_complexity,topology_complexity,key_gate_count,key_before_lock_rate,switch_gate_count,switch_before_gate_rate,battery_gate_count,battery_satisfaction_rate,path_length,num_nodes,num_edges,path_redundancy,articulation_count,articulation_ratio,branch_count,branch_utility_rate,secret_component_count,secret_content_discoverability_rate,repair_applied,total_repairs,generation_constraint_rejections,candidate_repairs_applied,novelty_vs_reference,graph_edit_distance
MAP_ELITES,42,24,24,17.364834785461426,512,484,0.15550202431395585,0.0,1.0,1.4961594224721475,1.0,1.0,0.2,0.16666666666666666,0.46218526031102103,0.29776470588235293,2.0,1.0,2.0,1.0,0.0,1.0,5.0,30.0,51.0,0.2,17.0,0.5666666666666667,2.0,1.0,0.0,1.0,1.0,20.0,0.0,0.0,0.08455940843290029,0.06531476997578692
MAP_ELITES,43,29,29,12.938908100128174,512,484,0.0473673371780272,0.0,1.0,2.553391525294799,1.0,1.0,0.14814814814814814,1.0,0.3162133779264214,0.23190499194847022,2.0,1.0,1.0,0.0,0.0,1.0,3.0,27.0,46.0,0.0,19.0,0.7037037037037037,1.0,1.0,0.0,1.0,1.0,39.0,0.0,0.0,0.1297967856531831,0.07862903225806452
MAP_ELITES,44,21,21,10.695205450057983,512,484,0.16952547348023,0.0,1.0,1.4751319697920362,1.0,1.0,0.20689655172413793,0.4,0.462325024630542,0.24670935960591134,2.0,1.0,0.0,1.0,0.0,1.0,5.0,29.0,50.0,0.0,17.0,0.5862068965517241,2.0,1.0,0.0,1.0,1.0,21.0,0.0,0.0,0.11824550749052809,0.08360472541507025
MAP_ELITES,45,26,26,10.839300870895386,512,484,0.3549840135390592,0.0,1.0,0.656106701682567,1.0,1.0,0.2857142857142857,1.0,0.4861333333333334,0.31533333333333335,5.0,1.0,0.0,1.0,0.0,1.0,5.0,21.0,35.0,0.2,9.0,0.42857142857142855,1.0,1.0,0.0,1.0,1.0,55.0,0.0,0.0,0.02472388795232836,0.08438423645320198
MAP_ELITES,46,21,21,10.564659118652344,512,484,0.28666335988562797,0.0,1.0,0.9280092957787819,1.0,1.0,0.2222222222222222,0.25,0.4977055258467023,0.3372525252525253,2.0,1.0,0.0,1.0,0.0,1.0,3.0,18.0,33.0,0.0,4.0,0.2222222222222222,1.0,1.0,0.0,1.0,1.0,34.0,0.0,0.0,0.06988152460998202,0.03203324808184143
MAP_ELITES,47,26,26,10.961622953414917,512,484,0.158682022176707,0.0,1.0,1.910196539424147,1.0,1.0,0.44,1.0,0.37832615384615387,0.20257435897435896,5.0,1.0,0.0,1.0,0.0,1.0,10.0,25.0,39.0,0.0,17.0,0.68,3.0,1.0,1.0,1.0,1.0,55.0,0.0,0.0,0.09009543043921484,0.12135714285714286
MAP_ELITES,48,33,33,13.0902578830719,512,484,0.33196781257232993,0.0,1.0,0.7579819396354983,1.0,1.0,0.3333333333333333,0.75,0.48472806267806273,0.3022546296296296,5.0,1.0,0.0,1.0,0.0,1.0,8.0,27.0,48.0,0.375,11.0,0.4074074074074074,4.0,1.0,0.0,1.0,1.0,48.0,0.0,0.0,0.09394928524543965,0.06666666666666665
MAP_ELITES,49,24,24,11.783166885375977,512,484,0.3101327831249084,0.0,1.0,0.8683564069558201,1.0,1.0,0.2647058823529412,1.0,0.4643807282078257,0.3176007714561235,5.0,1.0,0.0,1.0,0.0,1.0,8.0,34.0,61.0,0.0,21.0,0.6176470588235294,1.0,1.0,0.0,1.0,1.0,27.0,0.0,0.0,0.03651354517349909,0.075200900032144
MAP_ELITES,50,19,19,9.384360074996948,512,484,0.38880015754125846,0.0,1.0,0.6191612785534705,1.0,1.0,0.3333333333333333,0.3333333333333333,0.47750832272534405,0.3153301812450749,2.0,1.0,1.0,1.0,0.0,1.0,8.0,27.0,47.0,0.375,15.0,0.5555555555555556,2.0,0.5,0.0,1.0,1.0,27.0,0.0,0.0,0.06736626400030134,0.07410714285714286
MAP_ELITES,51,32,32,11.964747905731201,512,484,0.13612155881012472,0.0,1.0,1.4552467365742925,1.0,1.0,0.4117647058823529,0.42857142857142855,0.48620053144961867,0.33158823529411774,2.0,1.0,4.0,1.0,0.0,1.0,13.0,34.0,58.0,0.7692307692307693,11.0,0.3235294117647059,5.0,1.0,1.0,1.0,1.0,37.0,0.0,0.0,0.03770706853164104,0.0715095454377608
