method,seed,room_count,target_curve_len,generation_time_sec,eval_budget,evaluations_used,fitness,feasible_search,feasible_operational,constraint_violation,overall_completeness,constraint_valid,linearity,leniency,progression_complexity,topology_complexity,key_gate_count,key_before_lock_rate,switch_gate_count,switch_before_gate_rate,battery_gate_count,battery_satisfaction_rate,path_length,num_nodes,num_edges,path_redundancy,articulation_count,articulation_ratio,branch_count,branch_utility_rate,secret_component_count,secret_content_discoverability_rate,repair_applied,total_repairs,generation_constraint_rejections,candidate_repairs_applied,novelty_vs_reference,graph_edit_distance
RANDOM,42,24,24,8.304952383041382,512,512,0.17544857930313193,0.0,1.0,1.759002724906005,1.0,1.0,0.36363636363636365,1.0,0.4900685805422648,0.3164306220095694,2.0,1.0,0.0,1.0,0.0,1.0,3.0,11.0,19.0,0.0,5.0,0.45454545454545453,1.0,1.0,1.0,1.0,0.0,0.0,9.0,0.0,0.017014898964033954,0.043815789473684204
RANDOM,43,29,29,7.7823097705841064,512,512,0.1892316925194687,0.0,1.0,1.6982031780873272,1.0,1.0,0.3076923076923077,0.5,0.48410402930402935,0.33181684981684983,2.0,1.0,1.0,1.0,0.0,1.0,3.0,13.0,21.0,0.0,6.0,0.46153846153846156,1.0,1.0,0.0,1.0,0.0,0.0,10.0,0.0,0.04759473174237876,0.1032051282051282
RANDOM,44,21,21,6.23549485206604,512,512,0.1675957088208892,0.0,1.0,2.0656426736294726,1.0,1.0,0.36363636363636365,0.5,0.48722424242424245,0.29929292929292933,2.0,1.0,0.0,1.0,0.0,1.0,3.0,11.0,18.0,0.0,3.0,0.2727272727272727,1.0,1.0,0.0,1.0,0.0,0.0,8.0,0.0,0.025250688541426623,0.05999999999999999
RANDOM,45,26,26,7.474689960479736,512,512,0.20073652821196017,0.0,1.0,1.6090829210200157,1.0,1.0,0.3333333333333333,0.3333333333333333,0.4919991341991342,0.3258095238095238,2.0,1.0,1.0,1.0,0.0,1.0,3.0,12.0,21.0,0.0,4.0,0.3333333333333333,1.0,1.0,0.0,1.0,0.0,0.0,4.0,0.0,0.06051957611930442,0.07777777777777778
RANDOM,46,21,21,6.3681769371032715,512,512,0.2232507201981856,0.0,0.0,1.125644036437009,0.75,1.0,0.19047619047619047,0.5,0.46919523809523817,0.3365128205128205,2.0,1.0,1.0,1.0,0.0,1.0,3.0,21.0,39.0,0.0,4.0,0.19047619047619047,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.06932769547869297,0.0848343685300207
RANDOM,47,26,26,7.804261207580566,512,512,0.18013143429846154,0.0,1.0,1.7640551759008083,1.0,1.0,0.4444444444444444,0.5,0.5018666666666668,0.39216666666666666,2.0,1.0,0.0,1.0,0.0,1.0,3.0,9.0,16.0,0.0,3.0,0.3333333333333333,1.0,1.0,0.0,1.0,0.0,0.0,10.0,0.0,0.030054192199551095,0.1705050505050505
RANDOM,48,33,33,7.996182441711426,512,512,0.19257944594713342,0.0,1.0,1.6979551014711434,1.0,1.0,0.3333333333333333,0.5,0.4913562770562771,0.34009523809523806,2.0,1.0,0.0,1.0,0.0,1.0,3.0,12.0,21.0,0.0,3.0,0.25,1.0,1.0,0.0,1.0,0.0,0.0,9.0,0.0,0.03476022104700895,0.07777777777777778
RANDOM,49,24,24,7.86278772354126,512,512,0.18332253928111267,0.0,1.0,1.7648070208774622,1.0,1.0,0.4,1.0,0.49033333333333334,0.3635555555555556,2.0,1.0,0.0,1.0,0.0,1.0,3.0,10.0,18.0,0.0,3.0,0.3,1.0,1.0,1.0,1.0,0.0,0.0,9.0,0.0,0.0409615970174942,0.09914141414141414
RANDOM,50,19,19,5.471220970153809,512,512,0.21398507776094647,0.0,1.0,1.634625558771965,1.0,1.0,0.3333333333333333,0.5,0.4771848484848485,0.3203809523809524,2.0,1.0,1.0,1.0,0.0,1.0,3.0,12.0,21.0,0.0,5.0,0.4166666666666667,1.0,1.0,0.0,1.0,0.0,0.0,6.0,0.0,0.03673544296918152,0.0763157894736842
RANDOM,51,32,32,8.049958229064941,512,512,0.172747398551001,0.0,1.0,1.536022489393256,1.0,1.0,0.23529411764705882,1.0,0.4745570028011205,0.29630672268907565,2.0,1.0,0.0,1.0,0.0,1.0,3.0,17.0,28.0,0.0,6.0,0.35294117647058826,1.0,1.0,0.0,1.0,0.0,0.0,3.0,0.0,0.04933456578095409,0.09122549019607842
