method,metric,n_pairs,delta_mean_cfg_minus_full,delta_ci_low,delta_ci_high,p_value,effect_size_d,p_value_bh_fdr,significant_fdr_0_05
RANDOM,fitness,64,-0.10080236192809497,-0.12732885707422556,-0.0724010002438073,0.00024993751562109475,-0.8946605781430876,0.0021812728636022814,True
RANDOM,feasible_search,64,0.0,0.0,0.0,1.0,0.0,1.0,False
RANDOM,feasible_operational,64,-0.171875,-0.265625,-0.09375,0.0017495626093476631,-0.4555734516094202,0.011997000749812548,True
RANDOM,overall_completeness,64,-0.04296875,-0.06640625,-0.01953125,0.0014996250937265683,-0.4555734516094202,0.011074154538288503,True
RANDOM,constraint_valid,64,0.0,0.0,0.0,1.0,0.0,1.0,False
RANDOM,linearity,64,-0.05870334660581966,-0.09092635169168575,-0.026788830716832385,0.0007498125468632841,-0.45387523790233375,0.005998500374906273,True
RANDOM,leniency,64,0.1271763392857143,0.02955729166666667,0.2255961681547619,0.017245688577855536,0.3198486927453316,0.08713611070916481,False
RANDOM,progression_complexity,64,0.003502207910779373,-0.003347026045079755,0.011574993880857096,0.3821544613846538,0.11526179393147791,0.9654428498138622,False
RANDOM,topology_complexity,64,0.02757871457615591,0.015532226204617833,0.039994178498111446,0.00024993751562109475,0.5397365718500466,0.0021812728636022814,True
RANDOM,key_before_lock_rate,64,0.0,0.0,0.0,1.0,0.0,1.0,False
RANDOM,switch_before_gate_rate,64,0.0,0.0,0.0,1.0,0.0,1.0,False
RANDOM,battery_satisfaction_rate,64,0.0,0.0,0.0,1.0,0.0,1.0,False
RANDOM,path_length,64,-5.5,-6.172265625,-4.8125,0.00024993751562109475,-2.016736693462065,0.0021812728636022814,True
RANDOM,num_nodes,64,-12.6875,-14.703125,-10.577734375000002,0.00024993751562109475,-1.5250231411407271,0.0021812728636022814,True
RANDOM,path_redundancy,64,-0.26707620147417943,-0.32763459751798446,-0.20350621058628876,0.00024993751562109475,-1.0504281838359766,0.0021812728636022814,True
RANDOM,articulation_ratio,64,-0.16056032315315671,-0.2016524308944898,-0.1213410949360371,0.00024993751562109475,-0.9904915408429857,0.0021812728636022814,True
RANDOM,branch_utility_rate,64,0.036458333333333336,0.005208333333333334,0.078125,0.0667333166708323,0.2501595914621521,0.256255936015996,False
RANDOM,secret_content_discoverability_rate,64,0.015625,0.0,0.046875,1.0,0.1259881576697424,1.0,False
RANDOM,repair_applied,64,-1.0,-1.0,-1.0,0.00024993751562109475,0.0,0.0021812728636022814,True
RANDOM,generation_constraint_rejections,64,5.34375,4.484375,6.1875,0.00024993751562109475,1.4961483121250918,0.0021812728636022814,True
RANDOM,candidate_repairs_applied,64,0.0,0.0,0.0,1.0,0.0,1.0,False
RANDOM,novelty_vs_reference,64,-0.01693390272416289,-0.02815690128152393,-0.006304010960017718,0.004498875281179705,-0.3805649966482936,0.028792801799550113,True
RANDOM,graph_edit_distance,64,0.014460496743550174,0.0032176720431767673,0.026702166713255225,0.016245938515371157,0.3052550713960482,0.08664500541531284,False
RANDOM,generation_time_sec,64,-5.038616623729467,-5.252342997491359,-4.822509767860174,0.00024993751562109475,-5.553045165301379,0.0021812728636022814,True
ES,fitness,64,0.02403163339681165,-0.010653134478734165,0.057407346423629185,0.15821044738815296,0.17564754323016077,0.5424358196165244,False
ES,feasible_search,64,0.0,0.0,0.0,1.0,0.0,1.0,False
ES,feasible_operational,64,0.015625,0.0,0.046875,1.0,0.1259881576697424,1.0,False
ES,overall_completeness,64,0.00390625,0.0,0.01171875,1.0,0.1259881576697424,1.0,False
ES,constraint_valid,64,0.0,0.0,0.0,1.0,0.0,1.0,False
ES,linearity,64,0.026080071355108186,-0.007172212405013334,0.06021250132495506,0.13196700824793803,0.19601020308782177,0.4872627996846942,False
ES,leniency,64,0.018098958333333328,-0.07237862723214288,0.11353050595238091,0.7225693576605848,0.04668002377465538,1.0,False
ES,progression_complexity,64,0.0008496732041786614,-0.009741275029370713,0.010404313772265349,0.8732816795801049,0.020660319548423768,1.0,False
ES,topology_complexity,64,-0.0048318190121967915,-0.018959036995144216,0.009064225996048092,0.509372656835791,-0.0830997478449881,1.0,False
ES,key_before_lock_rate,64,0.0,0.0,0.0,1.0,0.0,1.0,False
