config,metric,n_pairs,delta_mean_cfg_minus_full,delta_ci_low,delta_ci_high,p_value,effect_size_d,p_value_bh_fdr,significant_fdr_0_05
NO_EVOLUTION,solvable,2,0.0,0.0,0.0,1.0,0.0,1.0,False
NO_EVOLUTION,confusion_index,2,-91.62781170123148,-205.91284987277356,22.657226470310604,1.0,-0.8017480955267122,1.0,False
NO_EVOLUTION,path_optimal,2,0.0,0.0,0.0,1.0,0.0,1.0,False
NO_EVOLUTION,tile_prior_kl,2,-0.20582064287652202,-0.25664445185131757,-0.15499683390172647,0.501124718820295,-4.049689447294126,1.0,False
NO_EVOLUTION,graph_edit_distance,2,0.009653573550632372,-0.0011904761904761862,0.02049762329174093,1.0,0.8902184867371803,1.0,False
NO_EVOLUTION,generation_time_sec,2,3.2786383628845215,-17.45814609527588,24.015422821044922,1.0,0.15810736565737424,1.0,False
NO_EVOLUTION,novelty,2,0.07543242257935634,0.05123819522077888,0.09962664993793381,0.5046238440389903,3.117785968586165,1.0,False
NO_EVOLUTION,reconstruction_error,2,0.039772727272727265,-0.011363636363636354,0.09090909090909088,1.0,0.7777777777777779,1.0,False
NO_EVOLUTION,constraint_valid,2,0.0,0.0,0.0,1.0,0.0,1.0,False
NO_EVOLUTION,room_repair_rate,2,0.14957264957264954,0.07692307692307687,0.2222222222222222,0.4833791552111972,2.0588235294117636,1.0,False
NO_EVOLUTION,tiles_repaired,2,79.5,-23.0,182.0,1.0,0.775609756097561,1.0,False
NO_EVOLUTION,topology_representable_edge_rate,2,-0.5132575757575757,-0.875,-0.1515151515151515,0.5083729067733067,-1.4188481675392668,1.0,False
NO_EVOLUTION,topology_edge_connection_recall,2,0.0892857142857143,-0.5714285714285714,0.75,1.0,0.13513513513513517,1.0,False
NO_EVOLUTION,topology_phantom_connection_rate,2,0.10714285714285715,0.0,0.2142857142857143,1.0,1.0,1.0,False
NO_EVOLUTION,topology_preservation_score,2,-0.20150162337662336,-0.6508928571428572,0.24788961038961044,1.0,-0.4483879707396369,1.0,False
NO_EVOLUTION,directed_representable_edge_rate,2,-0.25,-0.5,0.0,1.0,-1.0,1.0,False
NO_EVOLUTION,directed_edge_realization_rate,2,0.3,-0.4,1.0,1.0,0.4285714285714286,1.0,False
NO_EVOLUTION,directed_directionality_leak_rate,2,0.0,-1.0,1.0,1.0,0.0,1.0,False
NO_EVOLUTION,directed_edge_preservation_score,2,0.0,0.0,0.0,1.0,0.0,1.0,False
TOPO_LIGHTWEIGHT,solvable,2,0.0,0.0,0.0,1.0,0.0,1.0,False
TOPO_LIGHTWEIGHT,confusion_index,2,0.0,0.0,0.0,1.0,0.0,1.0,False
TOPO_LIGHTWEIGHT,path_optimal,2,0.0,0.0,0.0,1.0,0.0,1.0,False
TOPO_LIGHTWEIGHT,tile_prior_kl,2,-0.0008684505119650465,-0.001736901023930093,0.0,1.0,-1.0,1.0,False
TOPO_LIGHTWEIGHT,graph_edit_distance,2,0.0,0.0,0.0,1.0,0.0,1.0,False
TOPO_LIGHTWEIGHT,generation_time_sec,2,-2.3388004302978516,-4.586392164230347,-0.09120869636535645,0.5113721569607598,-1.0405806334790941,1.0,False
TOPO_LIGHTWEIGHT,novelty,2,0.0,0.0,0.0,1.0,0.0,1.0,False
TOPO_LIGHTWEIGHT,reconstruction_error,2,0.0,0.0,0.0,1.0,0.0,1.0,False
TOPO_LIGHTWEIGHT,constraint_valid,2,0.0,0.0,0.0,1.0,0.0,1.0,False
TOPO_LIGHTWEIGHT,room_repair_rate,2,0.0,0.0,0.0,1.0,0.0,1.0,False
TOPO_LIGHTWEIGHT,tiles_repaired,2,2.0,1.0,3.0,0.501124718820295,2.0,1.0,False
TOPO_LIGHTWEIGHT,topology_representable_edge_rate,2,0.0,0.0,0.0,1.0,0.0,1.0,False
TOPO_LIGHTWEIGHT,topology_edge_connection_recall,2,0.0,0.0,0.0,1.0,0.0,1.0,False
TOPO_LIGHTWEIGHT,topology_phantom_connection_rate,2,0.0,0.0,0.0,1.0,0.0,1.0,False
TOPO_LIGHTWEIGHT,topology_preservation_score,2,0.0,0.0,0.0,1.0,0.0,1.0,False
TOPO_LIGHTWEIGHT,directed_representable_edge_rate,2,0.0,0.0,0.0,1.0,0.0,1.0,False
TOPO_LIGHTWEIGHT,directed_edge_realization_rate,2,0.0,0.0,0.0,1.0,0.0,1.0,False
TOPO_LIGHTWEIGHT,directed_directionality_leak_rate,2,0.0,0.0,0.0,1.0,0.0,1.0,False
TOPO_LIGHTWEIGHT,directed_edge_preservation_score,2,0.0,0.0,0.0,1.0,0.0,1.0,False
