map_id,ablation,persona,success,path_length,states_explored,confusion_index,navigation_entropy,cognitive_load,aha_latency,deliberation_events,budget_exhaustion_events,peak_frustration,affordance_reactivations,affordance_guided_steps,inventory_change_events,focus_switches,focus_guided_steps,oracle_status,oracle_success,confusion_ratio,solver_status,time_ms
D1_v1,full,explorer,0,10001,10000,48.7562,1.9984,0.6245,0,1,0,1.0078,2,4959,1,1,5011,timeout,0,nan,timeout,20254.362
D1_v1,no_revisit,explorer,0,10001,10000,48.7562,1.9984,0.6245,0,1,0,1.0078,2,4959,1,1,5011,timeout,0,nan,timeout,22633.714
D1_v1,no_uncertainty,explorer,0,10001,10000,46.3981,1.9963,0.6245,0,1,0,1.0182,2,4959,1,1,5011,timeout,0,nan,timeout,30753.286
D1_v1,no_deliberation,explorer,0,10001,10000,40.8452,1.9651,0.6241,0,0,0,1.6714,2,6056,2,3,5004,timeout,0,nan,timeout,20296.381
D1_v1,no_affordance,explorer,0,10001,10000,47.0817,1.9063,0.6246,0,1,0,1.018,0,4959,1,0,5011,timeout,0,nan,timeout,22072.537
D1_v1,no_focus,explorer,0,10001,10000,52.1968,1.9984,0.6262,0,1,0,1.0102,2,4963,1,1,5011,timeout,0,nan,timeout,21270.394
D2_v1,full,explorer,1,181,180,0.2067,1.9111,0.7972,5,1,0,0.6411,0,0,0,0,117,solved,1,3.2909,solved,366.743
D2_v1,no_revisit,explorer,1,181,180,0.2067,1.9111,0.7972,5,1,0,0.6411,0,0,0,0,117,solved,1,3.2909,solved,527.749
D2_v1,no_uncertainty,explorer,0,10001,10000,89.0991,1.9918,0.6334,0,1,0,1.0227,0,0,1,0,5022,solved,1,nan,timeout,21676.132
D2_v1,no_deliberation,explorer,0,10001,10000,83.7542,1.9952,0.6327,0,0,0,1.4672,0,0,1,2,5023,solved,1,nan,timeout,20797.468
D2_v1,no_affordance,explorer,1,181,180,0.2067,1.9111,0.7972,5,1,0,0.6411,0,0,0,0,117,solved,1,3.2909,solved,369.316
D2_v1,no_focus,explorer,1,97,96,0.0899,1.7262,0.9583,5,1,0,0.5527,0,0,0,0,75,solved,1,1.7636,solved,179.947
D3_v1,full,explorer,0,10001,10000,107.7065,1.9993,0.4874,0,1,0,1.0213,0,0,2,2,5019,timeout,0,nan,timeout,17160.746
D3_v1,no_revisit,explorer,0,10001,10000,107.7065,1.9993,0.4874,0,1,0,1.0213,0,0,2,2,5019,timeout,0,nan,timeout,16471.314
D3_v1,no_uncertainty,explorer,0,10001,10000,104.2737,1.9973,0.9511,0,2,0,1.0434,0,9924,6,853,4588,timeout,0,nan,timeout,20534.781
D3_v1,no_deliberation,explorer,0,10001,10000,90.7523,1.9995,0.3281,0,0,0,1.466,0,0,1,0,5008,timeout,0,nan,timeout,16066.627
D3_v1,no_affordance,explorer,0,10001,10000,107.7065,1.9993,0.4874,0,1,0,1.0213,0,0,2,2,5019,timeout,0,nan,timeout,16985.306
D3_v1,no_focus,explorer,0,10001,10000,103.1771,1.9949,0.4845,0,1,0,1.0213,0,0,1,1,5013,timeout,0,nan,timeout,16671.317
