map_id,ablation,persona,success,path_length,states_explored,confusion_index,navigation_entropy,cognitive_load,aha_latency,deliberation_events,budget_exhaustion_events,peak_frustration,affordance_reactivations,affordance_guided_steps,inventory_change_events,oracle_status,oracle_success,confusion_ratio,solver_status,time_ms
D1_v1,full,balanced,0,10001,10000,23.8781,1.9998,0.151,0,2,0,0.8065,0,13,5,timeout,0,nan,timeout,16895.721
D1_v1,no_revisit,balanced,0,10001,10000,174.4561,1.0352,0.6627,0,0,0,0.8517,0,36,2,timeout,0,nan,timeout,8047.438
D1_v1,no_uncertainty,balanced,0,10001,10000,67.034,2.0,0.0,0,0,0,0.8022,0,0,2,timeout,0,nan,timeout,13377.553
D1_v1,no_deliberation,balanced,0,10001,10000,51.3613,2.0,0.1548,0,0,0,1.3357,1,32,3,timeout,0,nan,timeout,14854.816
D1_v1,no_affordance,balanced,0,10001,10000,21.1752,1.9998,0.1507,0,2,0,0.8771,0,37,5,timeout,0,nan,timeout,17204.177
D2_v1,full,balanced,0,10001,10000,68.4514,1.8141,0.1582,0,0,0,0.8612,0,31,3,solved,1,nan,timeout,13947.558
D2_v1,no_revisit,balanced,0,10001,10000,71.471,1.8147,0.1583,0,0,0,0.8659,0,28,3,solved,1,nan,timeout,13854.937
D2_v1,no_uncertainty,balanced,1,273,272,0.1519,1.92,0.7829,5,0,0,0.8247,0,31,3,solved,1,4.9636,solved,424.829
D2_v1,no_deliberation,balanced,0,10001,10000,47.0817,1.816,0.1548,0,0,0,1.3056,0,31,3,solved,1,nan,timeout,15433.322
D2_v1,no_affordance,balanced,1,143,142,0.0752,1.8398,1.1109,5,0,0,0.5244,0,13,1,solved,1,2.6,solved,203.41
D3_v1,full,balanced,0,10001,10000,55.8239,1.8239,0.1596,0,0,0,0.8695,0,0,2,timeout,0,nan,timeout,15189.44
D3_v1,no_revisit,balanced,0,10001,10000,79.6532,1.8229,0.1599,0,0,0,0.8513,0,0,2,timeout,0,nan,timeout,15186.784
D3_v1,no_uncertainty,balanced,1,260,259,0.2093,1.9426,0.7873,5,0,0,0.5964,0,19,5,timeout,0,nan,solved,391.461
D3_v1,no_deliberation,balanced,0,10001,10000,51.9153,1.8243,0.1594,0,0,0,1.2924,0,0,2,timeout,0,nan,timeout,15447.701
D3_v1,no_affordance,balanced,0,10001,10000,55.8239,1.8239,0.1596,0,0,0,0.8695,0,0,2,timeout,0,nan,timeout,15341.609
