map_id,ablation,persona,success,path_length,states_explored,confusion_index,navigation_entropy,cognitive_load,aha_latency,deliberation_events,budget_exhaustion_events,peak_frustration,affordance_reactivations,affordance_guided_steps,inventory_change_events,focus_switches,focus_guided_steps,oracle_status,oracle_success,confusion_ratio,solver_status,time_ms
D1_v1,full,balanced,0,50001,50000,573.7241,1.011,0.6672,0,24945,24223,1.4008,2,24986,1,1,24992,timeout,0,nan,timeout,106324.719
D1_v1,no_revisit,balanced,0,50001,50000,734.3088,1.6036,1.1601,0,2530,43,1.8019,2,47938,2,1,25002,timeout,0,nan,timeout,67870.07
D1_v1,no_uncertainty,balanced,0,50001,50000,514.4742,1.0134,0.6639,0,24932,24209,1.4008,2,24986,1,1,24992,timeout,0,nan,timeout,101032.326
D1_v1,no_deliberation,balanced,0,50001,50000,470.7075,1.0145,0.6625,0,0,0,1.4143,2,24986,1,1,24992,timeout,0,nan,timeout,78839.006
D1_v1,no_affordance,balanced,0,50001,50000,567.1932,1.011,0.6672,0,24946,24223,1.4008,0,24986,1,1,24992,timeout,0,nan,timeout,102390.293
D1_v1,no_focus,balanced,0,50001,50000,245.3103,1.0243,0.6327,0,24900,24066,1.4008,2,24986,2,1,24992,timeout,0,nan,timeout,110106.869
D1_v2,full,balanced,0,50001,50000,222.2188,1.9345,0.9365,0,24922,20705,1.6339,0,49851,6,1118,24449,timeout,0,nan,timeout,109495.588
D1_v2,no_revisit,balanced,0,50001,50000,567.1932,1.9602,1.1235,0,24973,20211,1.4692,0,49946,5,1560,24224,timeout,0,nan,timeout,102310.998
D1_v2,no_uncertainty,balanced,0,50001,50000,366.6544,1.3015,1.1254,0,24951,23185,1.4574,0,49918,3,2099,23959,timeout,0,nan,timeout,105261.018
D1_v2,no_deliberation,balanced,0,50001,50000,536.6452,1.2465,0.8121,0,0,0,1.4576,0,49936,3,895,24561,timeout,0,nan,timeout,79837.146
D1_v2,no_affordance,balanced,0,50001,50000,197.4167,1.8506,0.9162,0,52,0,0.8675,0,24990,5,4,24998,timeout,0,nan,timeout,100893.532
D1_v2,no_focus,balanced,0,50001,50000,222.2188,2.0,0.9167,0,35,0,0.8046,1,24987,9,5,25001,timeout,0,nan,timeout,92321.83
D2_v1,full,balanced,1,71,70,0.0,1.4583,0.9504,5,5,0,0.5706,0,0,0,0,62,solved,1,1.2909,solved,142.92
D2_v1,no_revisit,balanced,1,71,70,0.0,1.4583,0.9504,5,5,0,0.5706,0,0,0,0,62,solved,1,1.2909,solved,140.975
D2_v1,no_uncertainty,balanced,0,50001,50000,756.5909,2.0,0.6386,0,10,0,0.8763,0,0,1,0,25023,solved,1,nan,timeout,82596.887
D2_v1,no_deliberation,balanced,1,71,70,0.0,1.4583,0.9504,5,0,0,0.9051,0,0,0,0,62,solved,1,1.2909,solved,185.217
D2_v1,no_affordance,balanced,1,71,70,0.0,1.4583,0.9504,5,5,0,0.5706,0,0,0,0,62,solved,1,1.2909,solved,153.825
D2_v1,no_focus,balanced,1,71,70,0.0,1.4583,0.9504,5,5,0,0.5706,0,0,0,0,62,solved,1,1.2909,solved,170.873
D2_v2,full,balanced,0,50001,50000,560.809,2.0,0.79,0,18,0,0.8516,0,0,2,0,25020,solved,1,nan,timeout,88719.938
D2_v2,no_revisit,balanced,0,50001,50000,587.2471,2.0,0.7907,0,18,0,0.8646,0,0,2,0,25020,solved,1,nan,timeout,86684.008
D2_v2,no_uncertainty,balanced,0,50001,50000,536.6452,1.999,0.7915,0,19,0,0.9044,0,0,3,0,25020,solved,1,nan,timeout,84623.764
D2_v2,no_deliberation,balanced,0,50001,50000,509.2143,2.0,0.788,0,0,0,1.296,0,0,3,0,25020,solved,1,nan,timeout,87768.004
D2_v2,no_affordance,balanced,0,50001,50000,560.809,2.0,0.79,0,18,0,0.8516,0,0,2,0,25020,solved,1,nan,timeout,87455.404
D2_v2,no_focus,balanced,0,50001,50000,548.4615,1.9992,0.7953,0,13,0,0.86,0,0,3,0,25020,solved,1,nan,timeout,83878.815
D3_v1,full,balanced,1,144,143,0.036,1.8203,1.0974,5,12,0,0.5552,0,8,4,3,102,timeout,0,nan,solved,298.911
D3_v1,no_revisit,balanced,0,50001,50000,1611.9355,2.0,0.3401,0,24990,24332,1.4008,0,0,1,0,25008,timeout,0,nan,timeout,98639.814
D3_v1,no_uncertainty,balanced,1,158,157,0.0327,1.8542,1.0973,5,8,0,0.5115,0,12,2,1,108,timeout,0,nan,solved,306.088
D3_v1,no_deliberation,balanced,1,232,231,0.1262,1.9256,1.0973,5,0,0,1.1462,0,58,6,5,111,timeout,0,nan,solved,414.846
D3_v1,no_affordance,balanced,1,144,143,0.036,1.8203,1.0974,5,12,0,0.5552,0,8,4,3,102,timeout,0,nan,solved,290.489
D3_v1,no_focus,balanced,1,144,143,0.0286,1.8231,1.0975,5,14,0,0.5348,0,10,6,4,67,timeout,0,nan,solved,285.983
D3_v2,full,balanced,0,50001,50000,211.7702,2.0,0.9104,0,27,0,0.8449,3,37397,4,2,25006,timeout,0,nan,timeout,97425.45
D3_v2,no_revisit,balanced,0,50001,50000,4999.1,1.0017,1.0448,0,7,0,0.8136,0,0,0,0,24998,timeout,0,nan,timeout,36784.615
D3_v2,no_uncertainty,balanced,0,50001,50000,203.9221,2.0,0.7616,0,54,15,1.2666,2,37442,4,2,25006,timeout,0,nan,timeout,85740.048
D3_v2,no_deliberation,balanced,0,50001,50000,202.2561,1.9193,0.7618,0,0,0,1.2932,3,41533,4,2,25010,timeout,0,nan,timeout,114245.01
D3_v2,no_affordance,balanced,0,50001,50000,284.72,1.999,0.7637,0,19,0,0.8516,0,37864,3,2,25021,timeout,0,nan,timeout,112531.828
D3_v2,no_focus,balanced,0,50001,50000,250.2613,1.9996,1.0705,0,20,0,0.8612,1,37692,3,2,25010,timeout,0,nan,timeout,108563.455
