map_id,ablation,persona,success,path_length,states_explored,confusion_index,navigation_entropy,cognitive_load,aha_latency,deliberation_events,budget_exhaustion_events,peak_frustration,affordance_reactivations,affordance_guided_steps,inventory_change_events,oracle_status,oracle_success,confusion_ratio,solver_status,time_ms
D1_v1,full,explorer,1,574,573,0.3932,1.9721,0.9157,7,8,0,0.82,2,64,8,timeout,0,nan,solved,1120.222
D1_v1,no_revisit,explorer,1,632,631,0.2565,1.9879,0.4558,5,9,0,0.8692,2,97,11,timeout,0,nan,solved,1287.019
D1_v1,no_uncertainty,explorer,1,650,649,0.4773,1.9901,0.4588,5,11,0,0.8896,2,102,11,timeout,0,nan,solved,1254.072
D1_v1,no_deliberation,explorer,1,936,935,0.5344,1.979,0.4517,6,0,0,1.3353,2,96,14,timeout,0,nan,solved,1881.394
D1_v1,no_affordance,explorer,1,846,845,1.0484,1.9672,1.073,9,38,12,1.2651,0,103,6,timeout,0,nan,solved,1730.867
D2_v1,full,explorer,1,97,96,0.0899,1.7262,0.9583,5,1,0,0.5527,0,0,0,solved,1,1.7636,solved,167.744
D2_v1,no_revisit,explorer,1,97,96,0.0899,1.7262,0.9583,5,1,0,0.5527,0,0,0,solved,1,1.7636,solved,166.956
D2_v1,no_uncertainty,explorer,1,97,96,0.0899,1.7262,0.9583,5,1,0,0.5527,0,0,0,solved,1,1.7636,solved,155.55
D2_v1,no_deliberation,explorer,1,97,96,0.0899,1.7262,0.9583,5,0,0,0.9971,0,0,0,solved,1,1.7636,solved,172.118
D2_v1,no_affordance,explorer,1,97,96,0.0899,1.7262,0.9583,5,1,0,0.5527,0,0,0,solved,1,1.7636,solved,163.46
D3_v1,full,explorer,1,338,337,0.1943,1.9673,0.4669,5,1,0,0.6851,0,30,5,timeout,0,nan,solved,662.25
D3_v1,no_revisit,explorer,1,216,215,0.2067,1.9145,0.9417,5,1,0,0.6851,0,14,5,timeout,0,nan,solved,416.078
D3_v1,no_uncertainty,explorer,1,364,363,0.178,1.9608,0.9345,5,9,0,0.8327,0,12,6,timeout,0,nan,solved,663.331
D3_v1,no_deliberation,explorer,1,192,191,0.0726,1.9021,0.7831,7,0,0,1.1745,0,24,6,timeout,0,nan,solved,366.961
D3_v1,no_affordance,explorer,1,216,215,0.1934,1.9174,0.9405,7,1,0,0.6851,0,13,3,timeout,0,nan,solved,394.352
