map_id,ablation,persona,success,path_length,states_explored,confusion_index,navigation_entropy,cognitive_load,aha_latency,deliberation_events,budget_exhaustion_events,peak_frustration,affordance_reactivations,affordance_guided_steps,inventory_change_events,focus_switches,focus_guided_steps,oracle_status,oracle_success,confusion_ratio,solver_status,time_ms
D1_v1,full,explorer,0,10001,10000,48.5099,1.6088,1.0892,0,1,0,1.1378,2,9795,2,1,5019,timeout,0,nan,timeout,17485.937
D1_v1,no_revisit,explorer,0,10001,10000,48.5099,1.6088,1.0892,0,1,0,1.1378,2,9795,2,1,5019,timeout,0,nan,timeout,17477.426
D1_v1,no_uncertainty,explorer,0,10001,10000,56.477,2.0,0.627,0,1,0,0.9699,2,4959,1,1,5011,timeout,0,nan,timeout,19161.087
D1_v1,no_deliberation,explorer,0,10001,10000,48.266,2.0,0.6259,0,0,0,1.4143,2,4959,1,3,5010,timeout,0,nan,timeout,19376.434
D1_v1,no_affordance,explorer,0,10001,10000,43.8475,1.8687,0.6232,0,1,0,0.9699,0,4959,1,0,5011,timeout,0,nan,timeout,19823.103
D1_v1,no_focus,explorer,0,10001,10000,43.0573,2.0,0.7762,0,1,0,0.9699,2,4963,1,4880,2572,timeout,0,nan,timeout,20336.678
D2_v1,full,explorer,0,10001,10000,65.6733,2.0,0.6297,0,1,0,1.0223,0,0,1,0,5022,solved,1,nan,timeout,19779.215
D2_v1,no_revisit,explorer,0,10001,10000,65.6733,2.0,0.6297,0,1,0,1.0223,0,0,1,0,5022,solved,1,nan,timeout,19629.363
D2_v1,no_uncertainty,explorer,0,10001,10000,85.2155,1.9957,0.6312,0,1,0,1.0227,0,0,1,0,5022,solved,1,nan,timeout,19830.633
D2_v1,no_deliberation,explorer,0,10001,10000,62.7006,2.0,0.6292,0,0,0,1.4668,0,0,1,0,5022,solved,1,nan,timeout,19967.77
D2_v1,no_affordance,explorer,0,10001,10000,65.6733,2.0,0.6297,0,1,0,1.0223,0,0,1,0,5022,solved,1,nan,timeout,20140.366
D2_v1,no_focus,explorer,1,97,96,0.0899,1.7262,0.9583,5,1,0,0.5527,0,0,0,0,75,solved,1,1.7636,solved,165.787
D3_v1,full,explorer,0,10001,10000,107.7065,2.0,0.4878,0,1,0,0.9699,0,0,2,2,5019,timeout,0,nan,timeout,16986.115
D3_v1,no_revisit,explorer,0,10001,10000,107.7065,2.0,0.4878,0,1,0,0.9699,0,0,2,2,5019,timeout,0,nan,timeout,16604.054
D3_v1,no_uncertainty,explorer,0,10001,10000,40.6708,2.0,0.3162,0,9,0,1.0068,0,0,2,0,5013,timeout,0,nan,timeout,17057.912
D3_v1,no_deliberation,explorer,0,10001,10000,79.6532,2.0,0.4809,0,0,0,1.4143,0,0,2,0,5013,timeout,0,nan,timeout,16611.624
D3_v1,no_affordance,explorer,0,10001,10000,107.7065,2.0,0.4878,0,1,0,0.9699,0,0,2,2,5019,timeout,0,nan,timeout,16164.2
D3_v1,no_focus,explorer,0,10001,10000,103.1771,2.0,0.4846,0,1,0,0.9699,0,0,1,1,5013,timeout,0,nan,timeout,15994.07
