map_id,ablation,persona,success,path_length,states_explored,confusion_index,navigation_entropy,cognitive_load,aha_latency,deliberation_events,budget_exhaustion_events,peak_frustration,affordance_reactivations,affordance_guided_steps,inventory_change_events,focus_switches,focus_guided_steps,oracle_status,oracle_success,confusion_ratio,solver_status,time_ms
D1_v1,full,novice,0,50001,50000,221.2267,1.0377,0.6129,0,24999,24993,1.4585,0,0,0,4,25017,timeout,0,nan,timeout,75480.423
D1_v1,no_revisit,novice,0,50001,50000,16666.0,1.0,1.101,0,25000,24994,1.5065,0,0,0,0,25000,timeout,0,nan,timeout,50067.64
D1_v1,no_uncertainty,novice,0,50001,50000,258.0725,1.0316,0.6135,0,25000,24994,1.4079,2,24929,1,5,25017,timeout,0,nan,timeout,72769.135
D1_v1,no_deliberation,novice,0,50001,50000,189.1179,1.0422,0.6117,0,0,0,1.4015,2,24907,1,7,25015,timeout,0,nan,timeout,48974.02
D1_v1,no_affordance,novice,0,50001,50000,221.2267,1.0377,0.6129,0,24999,24993,1.4585,0,0,0,4,25017,timeout,0,nan,timeout,70509.98
D1_v1,no_focus,novice,0,50001,50000,214.5216,1.0374,0.6124,0,25000,24994,1.5033,2,24866,1,13,25018,timeout,0,nan,timeout,69233.538
D1_v2,full,novice,0,50001,50000,217.345,1.0345,0.8148,0,24996,24989,1.456,0,24980,1,9,24996,timeout,0,nan,timeout,74466.567
D1_v2,no_revisit,novice,0,50001,50000,16666.0,1.0,0.6606,0,25000,24994,1.5065,0,0,0,0,25000,timeout,0,nan,timeout,45857.973
D1_v2,no_uncertainty,novice,0,50001,50000,134.1378,1.0516,0.8092,0,24994,24988,1.3866,0,24957,6,19,25003,timeout,0,nan,timeout,103475.733
D1_v2,no_deliberation,novice,0,50001,50000,1189.5,1.0049,0.631,0,0,0,1.4074,0,24984,1,3,25004,timeout,0,nan,timeout,23167.667
D1_v2,no_affordance,novice,0,50001,50000,166.2274,1.0473,0.8148,0,24995,24985,1.4467,0,24962,2,11,24997,timeout,0,nan,timeout,85631.999
D1_v2,no_focus,novice,0,50001,50000,163.477,1.0461,0.8138,0,24994,24984,1.5064,0,24966,0,15,24994,timeout,0,nan,timeout,81957.221
D2_v1,full,novice,1,259,258,0.349,1.9606,0.8268,4,128,121,1.1968,0,0,0,1,156,solved,1,4.7091,solved,407.401
D2_v1,no_revisit,novice,0,50001,50000,16666.0,1.0,0.6606,0,25000,24994,1.5065,0,0,0,0,25000,solved,1,nan,timeout,41863.374
D2_v1,no_uncertainty,novice,0,50001,50000,289.7035,1.0291,0.6152,0,24999,24992,1.4528,0,0,1,0,25023,solved,1,nan,timeout,61196.029
D2_v1,no_deliberation,novice,1,257,256,0.3385,1.9588,0.8268,4,0,0,1.2095,0,0,0,1,155,solved,1,4.6727,solved,200.833
D2_v1,no_affordance,novice,1,259,258,0.349,1.9606,0.8268,4,128,121,1.1968,0,0,0,1,156,solved,1,4.7091,solved,321.301
D2_v1,no_focus,novice,0,50001,50000,300.2108,1.0304,0.6162,0,24998,24991,1.4525,0,0,1,0,25023,solved,1,nan,timeout,60009.653
D2_v2,full,novice,1,144,143,0.1429,1.8888,1.0404,4,68,59,0.9707,0,0,0,1,96,solved,1,2.6667,solved,158.835
D2_v2,no_revisit,novice,0,50001,50000,16666.0,1.0,0.6606,0,25000,24994,1.5065,0,0,0,0,25000,solved,1,nan,timeout,39017.869
D2_v2,no_uncertainty,novice,0,50001,50000,339.1429,1.0265,0.824,0,24999,24993,1.4241,0,0,2,0,25020,solved,1,nan,timeout,57320.996
D2_v2,no_deliberation,novice,1,142,141,0.127,1.8819,1.0404,4,0,0,0.9809,0,0,0,1,95,solved,1,2.6296,solved,92.265
D2_v2,no_affordance,novice,1,144,143,0.1429,1.8888,1.0404,4,68,59,0.9707,0,0,0,1,96,solved,1,2.6667,solved,156.321
D2_v2,no_focus,novice,1,122,121,0.0702,1.8619,0.8352,4,59,52,0.9819,0,0,0,3,83,solved,1,2.2593,solved,126.2
D3_v1,full,novice,0,50001,50000,229.4194,1.036,0.6171,0,24998,24991,1.4827,0,0,1,8,25011,timeout,0,nan,timeout,67623.061
D3_v1,no_revisit,novice,0,50001,50000,16666.0,1.0,0.6606,0,25000,24994,1.5065,0,0,0,0,25000,timeout,0,nan,timeout,40550.083
D3_v1,no_uncertainty,novice,1,378,377,0.4595,1.972,1.0289,6,183,176,1.3977,0,49,2,7,184,timeout,0,nan,solved,465.112
D3_v1,no_deliberation,novice,0,50001,50000,215.4545,1.0383,0.4087,0,0,0,1.3943,0,0,2,10,25011,timeout,0,nan,timeout,35069.417
D3_v1,no_affordance,novice,0,50001,50000,229.4194,1.036,0.6171,0,24998,24991,1.4827,0,0,1,8,25011,timeout,0,nan,timeout,66807.964
D3_v1,no_focus,novice,1,460,459,0.4511,1.9777,1.0252,4,223,216,1.2771,0,10,2,19,219,timeout,0,nan,solved,531.81
D3_v2,full,novice,0,50001,50000,182.8272,1.0346,0.8106,0,24997,24989,1.4004,1,24975,3,13,25024,timeout,0,nan,timeout,58753.08
D3_v2,no_revisit,novice,0,50001,50000,16666.0,1.0,0.6606,0,25000,24994,1.5065,0,0,0,0,25000,timeout,0,nan,timeout,39313.159
D3_v2,no_uncertainty,novice,0,50001,50000,154.2826,1.048,1.0206,0,24999,24993,1.9271,2,49709,2,12,25009,timeout,0,nan,timeout,75424.614
D3_v2,no_deliberation,novice,0,50001,50000,182.8272,1.0346,0.8106,0,0,0,1.4074,1,24976,3,15,25025,timeout,0,nan,timeout,38486.775
