map_id,ablation,persona,success,path_length,states_explored,confusion_index,navigation_entropy,cognitive_load,aha_latency,deliberation_events,budget_exhaustion_events,peak_frustration,affordance_reactivations,affordance_guided_steps,inventory_change_events,focus_switches,focus_guided_steps,oracle_status,oracle_success,confusion_ratio,solver_status,time_ms
D1_v1,full,speedrunner,0,50001,50000,168.4949,1.0463,1.1698,0,0,0,1.0533,2,49746,2,1,25019,timeout,0,nan,timeout,336201.714
D1_v1,no_revisit,speedrunner,0,50001,50000,1850.8889,1.0051,0.6212,0,0,0,0.9591,2,24975,1,1,25011,timeout,0,nan,timeout,445199.132
D1_v1,no_uncertainty,speedrunner,0,50001,50000,191.3115,1.0358,0.5829,0,0,0,0.8619,2,24980,2,1,24999,timeout,0,nan,timeout,277864.584
D1_v1,no_deliberation,speedrunner,0,50001,50000,199.8072,1.0326,0.5839,0,0,0,1.2931,2,24980,2,4,24988,timeout,0,nan,timeout,271295.622
D1_v1,no_affordance,speedrunner,0,50001,50000,100.835,1.563,0.3387,0,0,0,0.8119,0,24985,4,3,24996,timeout,0,nan,timeout,309343.006
D1_v1,no_focus,speedrunner,0,50001,50000,181.4854,2.0,0.6981,0,0,0,0.8052,3,24972,3,2,24998,timeout,0,nan,timeout,328192.586
D1_v2,full,speedrunner,0,50001,50000,235.9716,2.0,1.037,0,0,0,0.7788,0,25002,9,5,24992,timeout,0,nan,timeout,399690.744
D1_v2,no_revisit,speedrunner,0,50001,50000,2630.6316,1.0,1.1175,0,0,0,0.9613,0,49994,3,2,25007,timeout,0,nan,timeout,364271.405
D1_v2,no_uncertainty,speedrunner,0,50001,50000,121.8526,2.0,0.9145,0,0,0,0.7963,0,25007,10,7,24989,timeout,0,nan,timeout,304169.311
D1_v2,no_deliberation,speedrunner,0,50001,50000,132.6925,2.0,0.807,0,0,0,1.2994,0,25001,8,21,24993,timeout,0,nan,timeout,640368.419
D1_v2,no_affordance,speedrunner,0,50001,50000,194.3164,2.0,0.918,0,0,0,0.7916,0,24995,7,4,25001,timeout,0,nan,timeout,552047.11
D1_v2,no_focus,speedrunner,0,50001,50000,81.2385,1.085,0.7961,0,0,0,0.9613,0,49458,10,6,24981,timeout,0,nan,timeout,440217.938
D2_v1,full,speedrunner,0,50001,50000,213.5966,1.0363,0.8042,49743,0,0,0.8697,0,24884,2,0,25023,solved,1,nan,timeout,499473.328
D2_v1,no_revisit,speedrunner,0,50001,50000,2380.0,2.0,0.1238,0,0,0,0.7653,0,0,0,0,25009,solved,1,nan,timeout,379010.448
D2_v1,no_uncertainty,speedrunner,0,50001,50000,332.34,1.723,0.9265,49859,0,0,0.8769,0,0,1,0,25023,solved,1,nan,timeout,359704.479
D2_v1,no_deliberation,speedrunner,0,50001,50000,209.9747,1.0369,0.6882,49751,0,0,1.3578,0,24893,3,2,25016,solved,1,nan,timeout,482863.882
D2_v1,no_affordance,speedrunner,1,261,260,0.2311,1.9298,1.0659,10,0,0,0.573,0,14,1,1,157,solved,1,4.7455,solved,2164.832
D2_v1,no_focus,speedrunner,0,50001,50000,220.2434,1.0363,0.5741,49779,0,0,0.8697,0,24905,3,2,25014,solved,1,nan,timeout,469595.06
D2_v2,full,speedrunner,0,50001,50000,560.809,2.0,0.7241,49932,0,0,0.8476,0,0,4,0,25020,solved,1,nan,timeout,455026.218
D2_v2,no_revisit,speedrunner,0,50001,50000,2380.0,2.0,0.3704,0,0,0,0.6981,0,0,0,0,25009,solved,1,nan,timeout,332939.186
D2_v2,no_uncertainty,speedrunner,0,50001,50000,674.6892,1.4166,0.7221,49956,0,0,0.8368,0,0,3,0,25020,solved,1,nan,timeout,383289.055
D2_v2,no_deliberation,speedrunner,0,50001,50000,445.4375,2.0,0.723,49900,0,0,1.2885,0,0,4,0,25020,solved,1,nan,timeout,421270.532
D2_v2,no_affordance,speedrunner,0,50001,50000,560.809,2.0,0.7241,49932,0,0,0.8476,0,0,4,0,25020,solved,1,nan,timeout,374834.789
D2_v2,no_focus,speedrunner,0,50001,50000,509.2143,2.0,0.7231,49924,0,0,0.8409,0,0,4,0,25020,solved,1,nan,timeout,376974.634
D3_v1,full,speedrunner,1,192,191,0.1361,1.8831,1.1006,11,0,0,0.7931,1,72,5,2,90,timeout,0,nan,solved,1410.663
D3_v1,no_revisit,speedrunner,0,50001,50000,4544.5455,2.0,1.1679,0,0,0,0.9111,0,0,0,0,25004,timeout,0,nan,timeout,267916.9
D3_v1,no_uncertainty,speedrunner,0,50001,50000,140.6459,1.0694,0.583,0,0,0,0.8541,1,24984,5,3,25005,timeout,0,nan,timeout,360440.82
D3_v1,no_deliberation,speedrunner,1,158,157,0.0533,1.8393,1.0825,11,0,0,1.1319,0,50,2,3,81,timeout,0,nan,solved,1869.345
D3_v1,no_affordance,speedrunner,0,50001,50000,258.0725,1.8124,0.6078,0,0,0,0.946,0,24978,2,0,25016,timeout,0,nan,timeout,396133.383
D3_v1,no_focus,speedrunner,1,136,135,0.0074,1.7596,1.0645,11,0,0,0.6059,0,27,2,1,62,timeout,0,nan,solved,1302.569
D3_v2,full,speedrunner,0,50001,50000,193.5564,1.0367,0.7973,0,0,0,1.1026,2,49817,6,5,25013,timeout,0,nan,timeout,403400.16
D3_v2,no_revisit,speedrunner,0,50001,50000,2271.7727,2.0,0.7439,0,0,0,0.6981,0,0,0,0,25010,timeout,0,nan,timeout,314476.473
