method,seed,room_count,target_curve_len,generation_time_sec,eval_budget,evaluations_used,fitness,feasible,constraint_violation,overall_completeness,constraint_valid,linearity,leniency,progression_complexity,topology_complexity,path_length,num_nodes,num_edges,repair_applied,total_repairs,generation_constraint_rejections,candidate_repairs_applied,novelty_vs_reference,graph_edit_distance
RANDOM,42,24,24,2.173222541809082,128,128,0.5754504361251976,0.0,0.4408467616711589,1.0,1.0,0.34782608695652173,0.6,0.4756495504495505,0.2885857910205737,7.0,23.0,39.0,0.0,0.0,0.0,0.0,0.06179941442237243,0.1138198757763975
RANDOM,43,29,29,2.53704571723938,128,128,0.5542959063807495,0.0,0.3917406403327782,1.0,1.0,0.4230769230769231,1.0,0.4855076923076924,0.31303205128205125,10.0,26.0,48.0,0.0,0.0,0.0,0.0,0.045204854188500905,0.0685185185185185
RANDOM,44,21,21,1.8380763530731201,128,128,0.5491360095410294,0.0,0.46720403929050974,1.0,1.0,0.3333333333333333,1.0,0.40667812097812106,0.3379279279279279,6.0,21.0,37.0,0.0,0.0,0.0,0.0,0.04259871726121179,0.09016290726817042
RANDOM,45,26,26,2.33756685256958,128,128,0.5334656688573947,0.0,0.3325825680409943,1.0,1.0,0.28,1.0,0.3687766666666667,0.35,6.0,25.0,50.0,0.0,0.0,0.0,0.0,0.06784286189294476,0.0502948717948718
ES,42,24,24,2.892179250717163,128,120,0.5759892153955652,0.0,0.3930359316888067,1.0,1.0,0.34615384615384615,0.75,0.4740674208144797,0.3503408748114631,8.0,26.0,51.0,0.0,0.0,0.0,0.0,0.07909336594404225,0.051250000000000004
ES,43,29,29,2.912720203399658,128,120,0.6045348183350256,0.0,0.41392727860748413,1.0,1.0,0.3793103448275862,1.0,0.4167369458128079,0.3338374384236454,10.0,29.0,58.0,0.0,0.0,0.0,0.0,0.04370969833804831,0.04100466715794645
ES,44,21,21,2.4837148189544678,128,120,0.630024572255853,0.0,0.3400894328031261,1.0,1.0,0.34782608695652173,1.0,0.39633571362914133,0.31407592609614854,7.0,23.0,43.0,0.0,0.0,0.0,0.0,0.04482984246611887,0.08524844720496894
ES,45,26,26,2.527040719985962,128,120,0.6040910967580333,0.0,0.33749369385312433,1.0,1.0,0.2692307692307692,0.5,0.47230009675858725,0.36112046444121915,6.0,26.0,53.0,0.0,0.0,0.0,0.0,0.05591448358724424,0.03875
GA,42,24,24,2.7985150814056396,128,120,0.555621561582666,0.0,0.3981142545673695,1.0,1.0,0.3,1.0,0.4724695119653288,0.310448087431694,8.0,30.0,61.0,0.0,0.0,0.0,0.0,0.01811577945821224,0.031475409836065574
GA,43,29,29,2.4146440029144287,128,120,0.6127538554336568,0.0,0.2514748790062098,1.0,1.0,0.2692307692307692,0.6,0.48525897435897436,0.35146153846153844,6.0,26.0,52.0,0.0,0.0,0.0,0.0,0.07760669444456364,0.04772727272727273
GA,44,21,21,2.2773704528808594,128,120,0.6257344620510388,0.0,0.31323934828629013,1.0,1.0,0.4583333333333333,1.0,0.40209891304347833,0.3538115942028986,10.0,24.0,46.0,0.0,0.0,0.0,0.0,0.06187241345846591,0.05961538461538462
GA,45,26,26,2.319932699203491,128,120,0.5822691422596205,0.0,0.3556377667729022,1.0,1.0,0.2692307692307692,1.0,0.39930324437467296,0.3440094191522764,6.0,26.0,49.0,0.0,0.0,0.0,0.0,0.057084559547515075,0.06458333333333333
MAP_ELITES,42,24,24,3.4310097694396973,128,112,0.577751078007371,0.0,0.347075404772849,1.0,1.0,0.25806451612903225,1.0,0.4280996874834473,0.31084278828327777,7.0,31.0,58.0,0.0,0.0,0.0,0.0,0.04708167697762617,0.03966876252961545
MAP_ELITES,43,29,29,3.0660743713378906,128,112,0.5779863876605833,0.0,0.22151122017684707,1.0,1.0,0.34615384615384615,1.0,0.4977769230769232,0.37601538461538464,8.0,26.0,50.0,0.0,0.0,0.0,0.0,0.03809688712564222,0.058333333333333334
MAP_ELITES,44,21,21,2.916055917739868,128,112,0.4255727507894194,0.0,0.4509502964085076,1.0,1.0,0.3157894736842105,0.75,0.49521220938525173,0.4294868064470119,5.0,19.0,41.0,0.0,0.0,0.0,0.0,0.08255709189820357,0.026851851851851846
MAP_ELITES,45,26,26,2.6048338413238525,128,112,0.6168146417131215,0.0,0.3585051713692867,1.0,1.0,0.3333333333333333,0.6,0.48544699792960666,0.3553333333333334,7.0,24.0,46.0,0.0,0.0,0.0,0.0,0.05366675881110853,0.06121794871794872
FULL,42,24,24,2.773259401321411,128,120,0.593805214059371,0.0,0.33443296122726324,1.0,1.0,0.2413793103448276,0.6666666666666666,0.4812011753521735,0.37062328234379055,6.0,29.0,57.0,0.0,0.0,0.0,0.0,0.09447447939482136,0.04519774011299435
FULL,43,29,29,2.864360809326172,128,120,0.6113387668552726,0.0,0.21512999972662034,1.0,1.0,0.27586206896551724,0.6,0.474348092176672,0.3964234783334726,7.0,29.0,59.0,0.0,0.0,0.0,0.0,0.06489779331207647,0.03256410256410257
FULL,44,21,21,2.5891289710998535,128,120,0.5657830420380398,0.0,0.38425265051211993,1.0,1.0,0.2857142857142857,1.0,0.4709564102564103,0.3361538461538462,5.0,21.0,39.0,0.0,0.0,0.0,0.0,0.02996780442764847,0.08392857142857142
FULL,45,26,26,2.6032025814056396,128,120,0.5780510598294721,0.0,0.4616473521825495,1.0,1.0,0.32,1.0,0.4675119047619048,0.32339999999999997,7.0,25.0,50.0,0.0,0.0,0.0,0.0,0.015002968557448277,0.05120066889632107
