rule_a,rule_b,trials,a_applied,b_applicable_before,b_applicable_after,b_applied,blocked,invalid_after_pair,b_apply_exceptions,synergy,blocked_rate,invalid_rate,exception_rate,conflict_rate,synergy_rate
AddGatekeeper,AddSkillChain,6,3,4,1,1,2,1,0,0,0.6666666666666666,1.0,0.0,1.0,0.0
MergeShortcut,PruneDeadEnd,6,6,6,3,3,3,3,0,0,0.5,1.0,0.0,1.0,0.0
AddSecret,PruneDeadEnd,6,6,6,4,4,2,4,0,0,0.3333333333333333,1.0,0.0,1.0,0.0
AddEntangledBranches,PruneDeadEnd,6,4,6,3,3,1,3,0,0,0.25,1.0,0.0,1.0,0.0
AddMultiLock,PruneDeadEnd,6,4,6,3,3,1,3,0,0,0.25,1.0,0.0,1.0,0.0
InsertSwitch,AddMultiLock,6,6,4,5,5,1,5,0,2,0.16666666666666666,1.0,0.0,1.0,0.3333333333333333
AddTeleport,PruneDeadEnd,6,6,6,5,5,1,5,0,0,0.16666666666666666,1.0,0.0,1.0,0.0
InsertChallenge_ENEMY,InsertChallenge_PUZZLE,6,6,6,6,6,0,6,0,0,0.0,1.0,0.0,1.0,0.0
InsertChallenge_ENEMY,InsertLockKey,6,6,6,6,6,0,6,0,0,0.0,1.0,0.0,1.0,0.0
InsertChallenge_ENEMY,Branch,6,6,6,6,6,0,6,0,0,0.0,1.0,0.0,1.0,0.0
InsertChallenge_ENEMY,MergeShortcut,6,6,6,6,6,0,6,0,0,0.0,1.0,0.0,1.0,0.0
InsertChallenge_ENEMY,InsertSwitch,6,6,6,6,6,0,6,0,0,0.0,1.0,0.0,1.0,0.0
InsertChallenge_ENEMY,AddItemGate,6,6,6,6,6,0,6,0,0,0.0,1.0,0.0,1.0,0.0
InsertChallenge_ENEMY,CreateHub,6,6,6,6,6,0,6,0,0,0.0,1.0,0.0,1.0,0.0
InsertChallenge_ENEMY,AddSecret,6,6,6,6,6,0,6,0,0,0.0,1.0,0.0,1.0,0.0
InsertChallenge_ENEMY,AddTeleport,6,6,6,6,6,0,6,0,0,0.0,1.0,0.0,1.0,0.0
InsertChallenge_ENEMY,AddFungibleLock,6,6,6,6,6,0,6,0,0,0.0,1.0,0.0,1.0,0.0
InsertChallenge_ENEMY,FormBigRoom,6,6,6,6,6,0,6,0,0,0.0,1.0,0.0,1.0,0.0
InsertChallenge_ENEMY,AddValve,6,6,6,6,6,0,6,0,0,0.0,1.0,0.0,1.0,0.0
InsertChallenge_ENEMY,AddArena,6,6,6,6,6,0,6,0,0,0.0,1.0,0.0,1.0,0.0
InsertChallenge_ENEMY,AddSector,6,6,6,6,6,0,6,0,0,0.0,1.0,0.0,1.0,0.0
InsertChallenge_ENEMY,AddHazardGate,6,6,6,6,6,0,6,0,0,0.0,1.0,0.0,1.0,0.0
InsertChallenge_ENEMY,SplitRoom,6,6,6,6,6,0,6,0,0,0.0,1.0,0.0,1.0,0.0
InsertChallenge_ENEMY,PruneDeadEnd,6,6,6,6,6,0,6,0,0,0.0,1.0,0.0,1.0,0.0
InsertChallenge_PUZZLE,InsertChallenge_ENEMY,6,6,6,6,6,0,6,0,0,0.0,1.0,0.0,1.0,0.0
InsertChallenge_PUZZLE,InsertLockKey,6,6,6,6,6,0,6,0,0,0.0,1.0,0.0,1.0,0.0
InsertChallenge_PUZZLE,Branch,6,6,6,6,6,0,6,0,0,0.0,1.0,0.0,1.0,0.0
InsertChallenge_PUZZLE,MergeShortcut,6,6,6,6,6,0,6,0,0,0.0,1.0,0.0,1.0,0.0
InsertChallenge_PUZZLE,InsertSwitch,6,6,6,6,6,0,6,0,0,0.0,1.0,0.0,1.0,0.0
InsertChallenge_PUZZLE,AddItemGate,6,6,6,6,6,0,6,0,0,0.0,1.0,0.0,1.0,0.0
InsertChallenge_PUZZLE,CreateHub,6,6,6,6,6,0,6,0,0,0.0,1.0,0.0,1.0,0.0
InsertChallenge_PUZZLE,AddSecret,6,6,6,6,6,0,6,0,0,0.0,1.0,0.0,1.0,0.0
InsertChallenge_PUZZLE,AddTeleport,6,6,6,6,6,0,6,0,0,0.0,1.0,0.0,1.0,0.0
InsertChallenge_PUZZLE,AddFungibleLock,6,6,6,6,6,0,6,0,0,0.0,1.0,0.0,1.0,0.0
InsertChallenge_PUZZLE,FormBigRoom,6,6,6,6,6,0,6,0,0,0.0,1.0,0.0,1.0,0.0
InsertChallenge_PUZZLE,AddValve,6,6,6,6,6,0,6,0,0,0.0,1.0,0.0,1.0,0.0
InsertChallenge_PUZZLE,AddArena,6,6,6,6,6,0,6,0,0,0.0,1.0,0.0,1.0,0.0
InsertChallenge_PUZZLE,AddSector,6,6,6,6,6,0,6,0,0,0.0,1.0,0.0,1.0,0.0
InsertChallenge_PUZZLE,AddHazardGate,6,6,6,6,6,0,6,0,0,0.0,1.0,0.0,1.0,0.0
InsertChallenge_PUZZLE,SplitRoom,6,6,6,6,6,0,6,0,0,0.0,1.0,0.0,1.0,0.0
